cancer_type	Sample	type	HLA-A	PDCD6IP	CD81	HSP90AA1	PPIA	PSMD11	YWHAE	PKM
breast	MS151831QE_Bruno_Lyden_MDANAMBNA468_repeat	cell culture	344452533.7	682603750.6	2849482072	6754166241	8748834820	262280237.2	6324076895	3486203308
breast	MS162642QEp_Ayuko_Lyden_6061	not plasma	92281125.25	349245795.7	835907945.2	3077352472	3119013600	559616999.3	515269029.4	13653972960
colorectum	MS14722QE_Bruno_Lyden_HLIEC	cell culture	34421091.83	103180666.3	155014157.5	799941104.8	627913660.3	45101230	503052534.8	911037964
colorectum	MS14722QE_Bruno_Lyden_HT29	cell culture	73347243.88	368183764.5	785789859.7	1704350716	2298791004	42061378.69	1534849903	2849985499
colorectum	MS151767QE_Bruno_Lyden_HCT116_liver_tropic_1	cell culture	73146746.13	438379376.8	890603253.5	1713489869	845156018.8	68532014.38	321114278.9	1342503319
colorectum	MS162639QEp_Ayuko_Lyden_parental_a	cell culture	NA	2194349742	9474486243	2905096292	1452463227	98189408.5	1014925675	2158731947
colorectum	MS14722QE_Bruno_Lyden_SW620	cell culture	50765032.38	1415455523	1418796848	6130495970	6042123514	269349156.8	7735694860	5410456110
colorectum	MS162879QEp_Ayuko_Lyden_WE002_tumor	not plasma	185529184.7	866892747.3	1175509148	2498729766	1869709953	440009095.2	290489157.8	5356252174
colorectum	MS162879QEp_Ayuko_Lyden_WE005_tumor	not plasma	51169554.33	791907438	367602270.9	5790575984	4111210010	639696992.3	247846208.3	7703903368
colorectum	MS162879QEp_Ayuko_Lyden_WE004_tumor	not plasma	156843809.8	645691749.7	165014080.6	7474508501	6037661346	545461158.7	192581878.5	15398696540
gastric	MS173449QEp_Daniela_Lyden_MOCK4_1	cell culture	38960966	199998693.2	297686744.3	1374463235	1129346766	96724299	603973731.4	1117199301
gastric	MS184612LUM_haiying_lyden_P01NA035NAT01_a	not plasma	428131584	1289196725	483557330	32659777904	68735528213	2172909155	1619446286	65688493861
gastric	MS13451QE_Bruno_Lyden_SNU16gastric_A	cell culture	7122208.25	4950562.18	NA	23385161.96	108791032.5	5309106.297	4467756.328	81854865.13
gastric	MS13451QE_Bruno_Lyden_SNU1gastric_A	cell culture	19995146.51	27843313.56	123748806.3	91616393.33	207928310.4	3275870.594	138043227.5	411451477.7
gastric	MS14787QE_Hector_Lyden_HGC27	cell culture	93044352.13	391040063.9	875179179.2	2148368625	1971640394	169407019	1348512577	1049916830
HN	MS141070QE_Bruno_Lyden_M9	cell culture	146869107.3	653729635.3	NA	13337232904	28913259632	582483844.3	2276720864	79898047745
HN	MS141070QE_Bruno_Lyden_M2	cell culture	513965792.4	621032204.2	817729063	6422729041	10724820948	563551956.7	2247169568	24795257645
Kidney	MS173515QEp_Katharine_Lyden_Renal_bone_met	cell culture	1027527109	271665310.7	697928342.7	2018933257	1700132936	234762006.3	804213821.3	26144460467
kidney	MS151440QE_Bruno_Lyden_CCG9911_Wilms_tumor	cell culture	98838378	1083034996	2911655721	2439419631	1988476186	79719387.25	471667984	2109659928
kidney	MS151510QE_Bruno_Lyden_Wilms_tumor_CLS1	cell culture	248377803	465437461.3	5651553906	4082032715	3511892655	305064713	581532632	4309592206
liver	MS173551QEp_Miho_Lyden_P01NA021NAT01	not plasma	NA	112482091.6	144351643.5	1744306642	393560265.7	144356152.1	52583871	2858723828
liver	MS173259QEp_Ayuko_Lyden_P01NA015NAT01	not plasma	NA	197921075.7	NA	4674055713	2688109532	258266577.2	148879820.5	781812120.6
liver	MS173551QEp_Miho_Lyden_P01NA020NAT01	not plasma	5044970.875	187319961	661217451.1	3725987319	1518185063	221650865.6	88587268.77	1975210261
liver	MS184612LUM_haiying_lyden_P01NA025NAT01_a	not plasma	180882064.3	110877514.8	850574662.5	626097642.4	735851060.3	81312603.25	147926993.2	976620249.1
lung	MS141031QE_Bruno_Lyden_ET2B	cell culture	NA	NA	NA	NA	1747419.781	NA	NA	6865122.531
lung	MS141031QE_Bruno_Lyden_A459	cell culture	NA	141770758.8	814098260.8	459297887.6	240251096.7	18660322.06	47201476.89	392255599
lung	MS184454QEp_Goncalo_Lyden_130_T_c	not plasma	1381604125	239781139	843830954.8	1421488869	1485325027	100200138.9	871451231.8	1255792153
lung	MS13546QE_Bruno_Lyden_H1975_A	cell culture	180986306.4	138967675.3	90880158.4	597931103.9	437273738.4	16807650.17	902023882.5	561369707.2
lung	MS13546QE_Bruno_Lyden_H1650_A	cell culture	152108612.8	149731587	459226081.9	713197537.4	384411864.1	NA	741210807.4	278421272.7
lung	MS141031QE_Bruno_Lyden_H2228	cell culture	113274476.9	78366553	292294677.7	710158797.6	1232774579	23025096.67	3826676773	661927628.7
lung	MS13546QE_Bruno_Lyden_1118_A	cell culture	620389233.9	272536908.8	77389579.48	738716364.4	593621058.2	16833735.91	1097222518	2026833957
lung	MS13546QE_Bruno_Lyden_H292_A	cell culture	78056399.07	677094728.9	34539239.38	786441786.9	362831040.8	18809776.77	960597364.7	720895811.8
lung	MS141031QE_Bruno_Lyden_H358	cell culture	1996815688	885204633.7	803402612	6717528334	7041718440	94082421.5	10138332288	10587488146
lung	MS184454QEp_Goncalo_Lyden_128_T_b	not plasma	47918188	279966637.8	1203941993	1724640711	3260353565	143958705.5	313276266.9	4791900155
lung	MS184454QEp_Goncalo_Lyden_131_T_b	not plasma	283083113.1	277185148.8	442693718.3	6434043851	7326851332	503119523.7	723458966.3	19485888991
lung	MS184454QEp_Goncalo_Lyden_137_T	not plasma	42101595.63	348416339.6	69792366	3724359267	8370291885	336944590.3	404940490.6	8147724832
lung	MS184454QEp_Goncalo_Lyden_135_T	not plasma	104102949.8	562141702.3	928066471	2905923228	8780405850	379028844.9	391994298	9328337119
lung	MS183871QEp_Goncalo_Lyden_58_tumor	not plasma	2435664933	558999407.3	4332876723	1635776762	2635772747	252195322.8	1801041833	7266628314
lung	MS184454QEp_Goncalo_Lyden_141_T	not plasma	190805696.8	358642952.3	2059972703	3113563594	4187323127	523300945.8	527188916.1	5525897812
lung	MS184454QEp_Goncalo_Lyden_127_T_b	not plasma	289568875.5	549232952	379792324.5	5152896983	6492699765	674275560.2	551726390	10670884662
lung	MS184454QEp_Goncalo_Lyden_142_T	not plasma	265229413.7	633982162	1677009733	2469975562	5639739671	273216396.8	310085222	5005666801
lung	MS151726QE_Bruno_Lyden_bone_met_4	not plasma	512216044	475490057.3	999786700.9	5585728028	4050367162	473397582.3	844930057.3	12582709220
lung	MS183871QEp_Goncalo_Lyden_55_tumor	not plasma	2335035087	1081680071	838817074	5616298413	4299085823	762498036.4	3468958228	42514255475
lung	MS183871QEp_Goncalo_Lyden_57_tumor	not plasma	1757974345	957842794.7	1300898863	11561375612	7547651415	1189700434	1708887468	32212936989
lung	MS183871QEp_Goncalo_Lyden_62_tumor	not plasma	1563934121	545039961.9	3027891875	2823383953	3267866685	492028733.8	1726339787	11645341877
lung	MS162824QEp_Ayuko_Lyden_lung_cancer_bone_met_15	not plasma	625528926.6	838908492.3	1205215431	9641884464	14965633089	797302342.5	1244584220	36098953884
lung	MS183871QEp_Goncalo_Lyden_53_tumor	not plasma	101291270.3	1002349352	306855850.7	3551715886	6604296601	645900261.3	3647102809	27461228465
lung	MS183871QEp_Goncalo_Lyden_60_tumor	not plasma	1631330555	833903148.7	2704172909	3811632885	3540877576	502488681.3	2447512821	19389058165
lung	MS162824QEp_Ayuko_Lyden_lung_cancer_bone_met_16	not plasma	185337678.1	296551043.8	601327276.8	2501159245	3556239000	479716802.5	511069351.3	8244179090
lung	MS173515QEp_Katharine_Lyden_LC_bone_met_17	cell culture	328547456	186557729.2	NA	3452599287	1368093635	362914350.2	726890746.2	15550476815
pancreas	MS173080QEp_Ayuko_Lyden_37IL_tumor_pancreas	not plasma	NA	NA	NA	619584241.4	199494883.3	44325498	2556362.688	2981629396
pancreas	MS14837QE_Bruno_Lyden_AsPc1	cell culture	NA	540488236.7	NA	71642771.99	287907285.2	NA	43370722.77	72366855.88
pancreas	MS152072QEp_Jonathan_Jarnagin_patient2_NS_pancreas_duct	not plasma	NA	298383203.1	97226212.75	27256150.33	254600144.6	NA	44925669.96	32553954.92
pancreas	MS14837QE_Bruno_Lyden_PANC1	cell culture	NA	1029707865	NA	177367375.6	443128792	NA	83435394.71	214402947
pancreas	MS152072QEp_Jonathan_Jarnagin_patient1_RB_pancreas_tumor	not plasma	NA	68059471.02	38492092.99	111784480.8	198164490.9	5526631.109	12006307.13	892243681.7
pancreas	MS184039QEp_Linda_Lyden_68_tumor	not plasma	395453788.7	270137973.9	22196492.63	236664723.9	1005390481	NA	793865993.4	213929467.4
pancreas	MS13451QE_Bruno_Lyden_BXPC3pacreatic_C_repeat	cell culture	223908264.6	29652795.97	18754009.75	47714933.92	118437307.4	NA	174263357.3	175762468.2
pancreas	MS173080QEp_Ayuko_Lyden_42_tumor_pancreas	not plasma	905693869.9	380043691.4	30715689.5	494178961.8	974274939.3	NA	1030317329	313928621
pancreas	MS13451QE_Bruno_Lyden_HPAF2pacreatic_A	cell culture	74448334.27	38250913.02	NA	53121958.71	98629798.89	6504870.563	35535285.18	167067868.2
pancreas	MS14837QE_Bruno_Lyden_MiaPaca2	cell culture	146643396.2	156527289	21044832.67	671332887.3	1916054051	NA	1492862966	1575157842
pancreas	MS162763QEp_Jonathan_Jarnagin_32AG	not plasma	756011623.6	263359156.2	176789863.5	825809068.7	1456259898	NA	989408268.2	939625726.3
pancreas	MS184039QEp_Linda_Lyden_65_tumor	not plasma	458207699.6	190982499.1	3400591681	624239675.3	745290073.2	15210552.13	458625382.2	701715106.7
pancreas	MS184039QEp_Linda_Lyden_44_tumor	not plasma	610046929.4	189326292.5	1347486019	364143611.7	576892675.1	8083544.25	371592798.3	681704922.4
pancreas	MS162763QEp_Jonathan_Jarnagin_23SS	not plasma	57367063.92	62946643.43	294108581.8	107119266.4	223764091	15981077.88	51946125.03	898510695.4
pancreas	MS184039QEp_Linda_Lyden_71_tumor	not plasma	468741274	236038703.8	879751543	266509527.3	434957172.1	9928850	257216799.3	1687142155
pancreas	MS162763QEp_Jonathan_Jarnagin_27YG	not plasma	179251049.8	53399020.8	109815824.9	196888397.9	377528358	5977350.25	149357186.6	768649549.8
pancreas	MS184039QEp_Linda_Lyden_67_tumor	not plasma	129831698.2	277303311.8	1666269337	1995848830	3601591616	278565381.2	258109427.5	7904397340
pancreas	MS162763QEp_Jonathan_Jarnagin_29AD	not plasma	408066879.9	89529870.58	577093083.6	305281744.1	753144146	22500751.42	288221375.1	1902846967
pancreas	MS184039QEp_Linda_Lyden_58_tumor	not plasma	168887339.9	300405609.5	222543440	1543432177	550279884.7	151358846.4	247412226.5	4036198657
pancreas	MS162763QEp_Jonathan_Jarnagin_21CS	not plasma	2300556191	4638845541	73354549.88	1729140774	4238198857	45179767.25	2536647868	1979702532
pancreas	MS152072QEp_Jonathan_Jarnagin_patient3_JD_pancreas_tumor	not plasma	NA	489046714.3	NA	2132498168	2216190029	392762231.1	171134087.1	10496986412
pancreas	MS173080QEp_Ayuko_Lyden_43_tumor_pancreas	not plasma	613027741.8	685667985.1	283963897.8	2395054180	2399641612	348279486.9	273551704.6	8636129337
pancreas	MS173080QEp_Ayuko_Lyden_41_tumor_pancreas	not plasma	402093709.6	530209415.8	418295683.5	6052826529	3998194195	832711595	167572019.3	18792281309
pancreas	MS173080QEp_Ayuko_Lyden_10CF_tumor_pancreas	not plasma	1211923872	728547420.5	599106039.4	1084095245	1949553731	43029898.42	946420604	4653405404
pancreas	MS152072QEp_Jonathan_Jarnagin_patient2_NS_pancreas_tumor	not plasma	NA	335182588.2	1003198953	1560885635	2412082965	265578888.6	70884845.79	10009997901
pancreas	MS173080QEp_Ayuko_Lyden_9CF_tumor_pancreas	not plasma	546066226.1	941193379.7	3195377004	1175891462	3195981821	391931025.3	599470373	18796336575
pancreas	MS173080QEp_Ayuko_Lyden_11DB_tumor_pancreas	not plasma	727884719.4	616647997.1	661369397.9	5498186530	4491121493	929241256.6	359339605	37135498161
