ENTREZ GENE ID	GENE SYMBOL	number of EXPERIMENT	Chronic lymphocytic leukemia cells	Prostate cancer cells	Colorectal cancer cells	Osteosarcoma cells	Ovarian cancer cells 	Neuroblastoma cells	Breast cancer cells	Brain cancer cells	Kidney cancer cells	Leukemia cells	Ovarian cancer cells	Glioblastoma cells	Placenta choriocarcinoma cells	Bladder cancer cells	Astrocytoma cells	Duodenal cancer cells	Lung cancer cells	Squamous carcinoma cells	Cervix carcinoma cells	Osteoblasts	Glioma cells	Nasopharyngeal carcinoma cells	Mesothelioma cells	Cholangiocarcinoma cells	Transitional carcinoma cells	Pancreatic adenocarcinoma cells	Stomach cancer cells	Hepatoma cells	Epidermoid carcinoma cells	Monocytic leukemia cells	Myeloid leukemia cells	Testicular cancer cells	Pancreatic cancer cells
7531	YWHAE	111	4	34	23	1	2	2	6	1	4	5	4	11	1	1	6	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
302	ANXA2	110	4	28	25	1	2	2	6	1	3	3	5	7	0	3	6	0	1	2	1	8	0	0	1	1	0	0	0	0	0	0	0	0	0
7251	TSG101	110	2	36	22	0	2	1	6	1	1	4	7	6	0	6	6	0	4	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	1
1213	CLTC	108	4	32	21	1	2	2	5	2	0	8	6	8	0	3	6	2	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5230	PGK1	108	4	35	21	1	2	2	5	2	2	4	5	11	1	3	6	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2194	FASN	107	2	30	24	1	2	2	6	3	3	3	8	9	0	3	6	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
191	AHCY	101	4	33	21	1	2	1	2	2	3	5	5	10	1	3	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
967	CD63	101	4	4	21	1	2	0	12	5	1	5	4	10	1	3	3	0	8	0	1	6	0	0	1	2	0	4	1	2	0	0	0	0	0
3848	KRT1	101	4	24	22	0	2	2	5	5	0	1	5	14	1	3	6	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5478	PPIA	101	4	24	19	1	2	2	4	1	5	6	5	15	0	1	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6520	SLC3A2	101	4	24	19	0	2	1	12	1	5	3	5	10	0	3	6	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
8359	HIST1H4A	101	4	30	17	0	2	3	3	0	2	5	6	11	0	3	6	1	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
203068	TUBB	101	4	33	18	0	0	2	4	1	6	4	6	8	0	3	6	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3688	ITGB1	97	2	22	20	1	2	1	5	3	3	4	11	7	0	3	6	0	3	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
3849	KRT2	97	4	28	21	0	2	2	4	2	3	2	9	8	0	2	6	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7415	VCP	97	4	28	16	1	2	3	5	4	4	2	5	8	0	3	6	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
7534	YWHAZ	97	4	25	24	1	2	3	5	2	4	1	7	9	1	1	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
975	CD81	96	3	19	26	1	2	2	8	0	3	2	5	6	0	3	6	0	4	1	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0
1915	EEF1A1	96	3	34	20	0	2	2	2	2	2	2	8	8	0	3	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3857	KRT9	96	4	24	22	0	2	2	5	1	1	2	8	14	0	0	6	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10971	YWHAQ	95	4	30	23	0	2	3	3	3	0	5	5	9	0	1	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3945	LDHB	94	4	26	19	1	2	1	4	0	3	3	9	10	1	0	6	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5738	PTGFRN	94	0	32	21	1	2	1	2	4	1	1	6	7	0	3	6	0	5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
6386	SDCBP	94	2	26	24	1	2	1	2	3	2	2	5	7	0	0	6	3	2	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
476	ATP1A1	93	4	28	19	1	2	1	5	4	4	3	5	5	0	3	6	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4627	MYH9	93	4	17	21	0	2	2	3	3	4	5	7	9	1	3	6	2	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
5052	PRDX1	93	4	33	17	1	2	1	6	2	3	5	7	3	0	1	6	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
7167	TPI1	93	4	25	22	0	4	1	2	1	2	4	6	12	0	1	6	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7430	EZR	92	4	25	21	0	2	1	5	2	2	6	10	2	0	3	6	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
226	ALDOA	91	4	28	16	1	2	2	4	0	1	6	8	9	0	3	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10576	CCT2	91	4	18	24	1	2	2	4	4	1	5	6	10	0	3	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3105	HLA-A	90	1	5	20	1	2	0	7	6	7	10	15	2	0	1	0	0	12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2	A2M	89	1	30	14	1	2	2	4	2	3	3	7	10	1	2	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	ACTN4	89	4	18	22	1	2	1	2	3	4	2	5	7	0	3	6	0	7	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
213	ALB	89	4	32	14	0	0	2	3	0	0	4	4	14	1	3	6	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
308	ANXA5	89	4	24	21	1	2	2	5	1	1	3	9	5	0	1	6	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3959	LGALS3BP	88	0	18	20	0	2	2	5	3	2	1	8	13	0	3	6	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
6950	TCP1	88	4	15	20	1	2	2	2	4	4	2	7	8	0	3	6	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1072	CFL1	87	4	22	23	1	2	3	2	1	1	2	6	5	0	1	6	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2782	GNB1	87	4	25	20	0	2	1	2	2	4	3	6	4	0	2	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5908	RAP1B	87	4	24	24	1	2	2	5	1	3	1	6	5	0	0	6	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2316	FLNA	86	4	13	18	1	2	2	2	4	5	5	8	8	1	3	6	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7094	TLN1	86	4	16	17	0	2	2	4	2	3	7	8	9	1	2	6	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1499	CTNNB1	85	0	31	17	1	2	0	2	1	5	4	9	2	0	1	6	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
1917	EEF1A2	85	0	31	18	0	2	1	1	4	4	6	6	0	1	2	6	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
3858	KRT10	85	4	28	19	0	2	1	0	0	0	0	4	14	1	2	6	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
7057	THBS1	85	0	21	11	0	2	0	5	4	0	8	7	8	1	3	6	1	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
7529	YWHAB	85	4	25	20	0	2	0	2	2	4	1	7	8	1	1	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8294	HIST1H4I	85	4	28	18	0	2	3	1	0	0	4	4	10	0	3	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301	ANXA1	84	3	11	18	1	2	0	4	2	3	3	8	13	0	3	6	2	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
1192	CLIC1	84	4	24	18	1	2	0	5	1	3	6	7	2	0	1	6	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1937	EEF1G	84	3	21	16	0	2	3	1	3	4	3	7	9	0	3	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7532	YWHAG	84	4	18	20	1	2	2	4	2	3	3	6	9	0	1	6	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
309	ANXA6	83	4	15	13	1	4	2	4	1	4	6	6	7	0	3	6	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3837	KPNB1	83	3	23	20	0	2	3	1	0	0	2	7	6	0	2	6	0	6	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5901	RAN	83	4	22	21	0	2	2	3	0	2	5	6	1	1	3	6	1	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
7203	CCT3	83	3	18	18	1	2	2	5	4	3	5	4	7	0	3	6	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
7277	TUBA4A	83	4	18	25	0	2	1	2	4	1	6	8	0	1	3	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10890	RAB10	83	4	25	19	0	2	0	5	5	0	3	5	2	0	3	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121504	HIST4H4	83	4	28	16	0	2	3	1	0	0	4	4	10	0	3	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7037	TFRC	82	3	18	23	1	2	1	3	4	1	0	9	1	0	2	6	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
8360	HIST1H4D	82	4	28	15	0	2	3	1	0	0	4	4	10	0	3	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8361	HIST1H4F	82	4	28	15	0	2	3	1	0	0	4	4	10	0	3	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8362	HIST1H4K	82	4	28	15	0	2	3	1	0	0	4	4	10	0	3	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8363	HIST1H4J	82	4	28	15	0	2	3	1	0	0	4	4	10	0	3	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8364	HIST1H4C	82	4	28	15	0	2	3	1	0	0	4	4	10	0	3	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8365	HIST1H4H	82	4	28	15	0	2	3	1	0	0	4	4	10	0	3	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8366	HIST1H4B	82	4	28	15	0	2	3	1	0	0	4	4	10	0	3	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8367	HIST1H4E	82	4	28	15	0	2	3	1	0	0	4	4	10	0	3	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8368	HIST1H4L	82	4	28	15	0	2	3	1	0	0	4	4	10	0	3	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8370	HIST2H4A	82	4	28	15	0	2	3	1	0	0	4	4	10	0	3	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10211	FLOT1	82	2	12	24	1	2	3	5	0	2	2	7	4	0	3	6	0	3	1	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0
10606	PAICS	82	2	16	21	0	2	1	4	3	2	2	6	7	0	0	6	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
554313	HIST2H4B	82	4	28	15	0	2	3	1	0	0	4	4	10	0	3	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	ACTN1	81	2	11	20	1	2	2	4	0	4	3	8	6	1	3	6	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310	ANXA7	81	4	23	16	1	2	0	5	4	1	2	5	1	0	6	6	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
718	C3	81	1	25	9	0	2	1	6	1	4	1	5	7	1	2	6	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
998	CDC42	81	4	21	22	0	2	1	4	4	3	2	6	1	0	1	6	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5216	PFN1	81	4	18	23	1	0	2	4	0	2	5	5	4	0	3	6	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7001	PRDX2	81	4	24	20	0	2	3	6	5	2	1	6	1	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7414	VCL	81	0	20	16	1	2	2	3	5	2	4	8	6	0	2	6	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8826	IQGAP1	81	4	19	17	0	2	0	4	2	5	1	9	8	0	2	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10383	TUBB4B	81	4	19	17	0	2	2	4	5	3	3	7	6	0	1	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	ACLY	80	3	20	19	1	2	1	3	2	5	1	6	6	0	3	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
682	BSG	80	3	22	17	1	2	1	4	0	3	5	6	4	0	3	6	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5879	RAC1	80	2	23	17	0	2	1	5	2	3	1	8	4	0	1	6	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5898	RALA	80	3	22	20	0	2	1	2	1	2	4	10	3	0	0	6	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7879	RAB7A	80	4	20	24	1	2	2	4	1	1	2	6	5	0	1	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2665	GDI2	79	4	19	19	1	0	2	4	1	1	4	9	2	0	3	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6510	SLC1A5	79	4	18	18	1	2	1	4	0	1	5	7	3	0	3	6	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
22948	CCT5	79	4	20	17	1	2	2	3	2	3	6	6	1	0	3	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
375	ARF1	78	3	19	17	1	2	0	2	4	4	3	6	1	0	1	6	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1973	EIF4A1	78	3	20	20	0	2	2	4	3	1	3	6	5	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2771	GNAI2	78	4	15	17	1	2	1	3	2	4	2	8	7	0	3	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3655	ITGA6	78	0	22	24	0	2	0	4	4	0	3	5	2	0	3	6	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4072	EPCAM	78	0	30	23	0	2	0	5	2	5	3	5	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4478	MSN	78	4	10	17	1	2	1	2	2	4	2	7	10	1	3	6	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4869	NPM1	78	3	18	16	0	2	1	2	5	2	6	9	8	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5223	PGAM1	78	4	23	16	1	2	1	2	3	2	4	6	1	0	1	6	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
7317	UBA1	78	3	12	21	1	2	0	3	2	0	4	9	7	0	3	6	0	2	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
2317	FLNB	77	1	20	17	0	2	1	3	1	3	1	8	7	0	3	6	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2821	GPI	77	4	19	18	1	2	2	2	2	1	5	4	7	0	2	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3939	LDHA	77	4	30	20	1	2	2	4	3	2	2	4	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5878	RAB5C	77	4	23	22	1	2	0	2	1	2	3	5	3	0	1	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6513	SLC2A1	77	2	17	21	0	2	1	3	6	3	3	4	2	0	3	6	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
7846	TUBA1A	77	3	15	20	0	2	2	4	0	2	3	6	9	0	2	6	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8339	HIST1H2BG	77	0	26	16	0	0	1	6	4	1	5	5	0	0	3	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
148362	BROX	77	1	20	21	0	2	1	3	2	2	2	10	1	0	2	5	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2335	FN1	76	0	19	5	0	2	1	6	0	2	1	8	8	1	3	6	1	7	1	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0
3921	RPSA	76	3	22	16	1	0	2	5	5	1	1	9	1	0	3	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4240	MFGE8	76	0	16	17	0	2	1	4	2	3	2	7	7	0	3	6	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
6188	RPS3	76	4	20	17	1	2	2	4	4	1	6	7	1	0	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7520	XRCC5	76	3	11	16	0	2	1	3	4	5	6	6	7	0	3	1	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
10376	TUBA1B	76	0	33	20	0	0	2	2	2	3	0	4	2	1	3	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
481	ATP1B1	75	0	23	17	1	2	0	2	4	2	0	9	1	0	3	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3728	JUP	75	0	17	21	0	2	0	2	3	3	2	5	3	0	3	6	0	4	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5688	PSMA7	75	3	13	19	0	2	1	4	2	1	4	8	9	0	0	6	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5717	PSMD11	75	3	7	20	0	2	1	4	3	2	2	8	9	0	2	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6175	RPLP0	75	3	20	18	1	2	2	2	4	4	3	5	2	0	2	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6187	RPS2	75	4	25	15	1	2	2	4	0	5	5	4	0	0	0	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6189	RPS3A	75	2	12	18	0	2	1	3	4	3	8	6	3	0	0	3	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
6202	RPS8	75	3	19	19	1	2	2	2	0	2	8	5	3	0	0	5	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54472	TOLLIP	75	0	21	20	0	2	0	4	2	1	2	7	3	0	1	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
387	RHOA	74	3	24	16	1	2	1	1	1	5	1	6	4	0	1	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2547	XRCC6	74	3	15	18	0	2	1	2	3	2	5	9	2	0	3	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2783	GNB2	74	4	15	20	1	2	1	5	0	1	3	6	2	0	2	6	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	ACTG1	73	0	17	13	0	0	0	6	4	4	5	7	2	0	2	6	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
908	CCT6A	73	4	12	20	0	2	2	1	2	4	4	6	2	0	2	6	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1495	CTNNA1	73	0	25	17	1	2	1	3	0	1	1	8	2	0	3	6	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2319	FLOT2	73	3	8	21	0	2	0	3	2	4	1	6	1	0	2	6	0	5	1	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0
2934	GSN	73	1	16	15	0	2	1	4	1	1	5	5	7	1	3	6	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6136	RPL12	73	3	10	20	1	2	2	3	2	1	4	6	9	0	0	5	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9588	PRDX6	73	3	24	15	1	2	2	4	0	2	3	6	1	0	1	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10672	GNA13	73	4	18	22	1	2	0	4	1	3	1	7	1	0	0	6	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	ADAM10	72	1	19	18	1	2	0	2	3	1	2	10	1	0	2	5	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
483	ATP1B3	72	2	25	14	1	2	0	5	0	5	2	6	1	0	1	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3039	HBA1	72	4	16	6	0	2	2	4	3	1	7	5	9	0	1	6	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3301	DNAJA1	72	2	19	19	0	2	1	3	1	2	3	7	1	0	1	6	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
5518	PPP2R1A	72	3	17	14	1	2	1	4	5	4	3	4	0	0	2	6	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10575	CCT4	72	4	17	18	1	2	2	3	1	0	2	5	8	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11021	RAB35	72	4	19	19	1	2	1	3	1	5	2	4	1	0	2	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
307	ANXA4	71	3	8	23	1	2	1	3	0	5	1	9	3	0	1	6	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
829	CAPZA1	71	4	13	14	1	2	1	5	5	3	1	10	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
977	CD151	71	1	24	17	0	2	1	5	1	1	2	4	0	0	2	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500	CTNND1	71	0	19	22	0	2	0	1	0	1	4	7	2	0	1	6	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3698	ITIH2	71	1	17	8	0	2	2	4	2	4	5	6	7	1	2	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6129	RPL7	71	4	12	18	0	2	2	4	4	3	5	8	1	0	0	3	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6194	RPS6	71	3	13	18	1	2	1	5	3	3	8	9	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7533	YWHAH	71	4	12	17	1	2	1	2	3	4	4	7	1	0	0	6	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
9230	RAB11B	71	4	14	20	0	2	2	4	2	2	4	8	1	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10694	CCT8	71	4	17	18	0	0	2	1	0	1	6	6	1	0	3	6	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10963	STIP1	71	2	14	18	0	2	0	3	1	3	4	7	0	0	1	6	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26986	PABPC1	71	1	21	13	0	2	1	1	5	2	1	8	2	0	0	6	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55832	CAND1	71	3	19	17	0	2	1	3	1	2	0	7	6	0	3	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	ACTA1	70	0	26	15	0	0	0	1	3	5	3	4	0	0	2	6	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
2778	GNAS	70	3	20	20	0	4	1	4	1	0	0	5	2	0	3	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3308	HSPA4	70	3	8	15	1	2	1	4	3	1	6	6	6	0	2	6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0
8407	TAGLN2	70	4	9	19	1	2	1	5	3	3	3	6	4	0	1	6	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26227	PHGDH	70	2	19	15	0	2	2	1	1	2	3	6	2	0	3	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51552	RAB14	70	4	13	20	0	2	0	3	3	4	0	8	1	0	0	6	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57609	DIP2B	70	1	13	19	0	2	1	2	6	5	2	6	2	0	2	6	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2058	EPRS	69	2	3	20	0	2	0	3	5	1	4	7	7	0	3	3	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
