case_id	cohort	tumor	TN
PDCJHU_C3N.02589_T	PDCJHU	1	Tumor
PDCJHU_C3L.02463_T	PDCJHU	1	Tumor
PDCJHU_C3L.03743_T	PDCJHU	1	Tumor
PDCJHU_C3L.01051_T	PDCJHU	1	Tumor
PDCJHU_C3N.03211_T	PDCJHU	1	Tumor
PDCJHU_C3N.02940_T	PDCJHU	1	Tumor
PDCJHU_C3N.00436_T	PDCJHU	1	Tumor
PDCJHU_C3N.01716_T	PDCJHU	1	Tumor
PDCJHU_C3L.04475_T	PDCJHU	1	Tumor
PDCJHU_C3N.00516_T	PDCJHU	1	Tumor
PDCJHU_C3L.02115_T	PDCJHU	1	Tumor
PDCJHU_C3L.04473_T	PDCJHU	1	Tumor
PDCJHU_C3L.03129_T	PDCJHU	1	Tumor
PDCJHU_C3L.04848_T	PDCJHU	1	Tumor
PDCJHU_C3L.00881_T	PDCJHU	1	Tumor
PDCJHU_C3L.00277_T	PDCJHU	1	Tumor
PDCJHU_C3N.00513_T	PDCJHU	1	Tumor
PDCJHU_C3N.02579_T	PDCJHU	1	Tumor
PDCJHU_C3L.03395_T	PDCJHU	1	Tumor
PDCJHU_C3N.03780_T	PDCJHU	1	Tumor
PDCJHU_C3L.02897_T	PDCJHU	1	Tumor
PDCJHU_C3L.01036_T	PDCJHU	1	Tumor
PDCJHU_C3N.03439_T	PDCJHU	1	Tumor
PDCJHU_C3L.01037_T	PDCJHU	1	Tumor
PDCJHU_C3L.00819_T	PDCJHU	1	Tumor
PDCJHU_C3N.04282_T	PDCJHU	1	Tumor
PDCJHU_C3N.03086_T	PDCJHU	1	Tumor
PDCJHU_C3N.00957_T	PDCJHU	1	Tumor
PDCJHU_C3N.03428_T	PDCJHU	1	Tumor
PDCJHU_C3L.03635_T	PDCJHU	1	Tumor
PDCJHU_C3L.00625_T	PDCJHU	1	Tumor
PDCJHU_C3L.00189_T	PDCJHU	1	Tumor
PDCJHU_C3N.03061_T	PDCJHU	1	Tumor
PDCJHU_C3N.03440_T	PDCJHU	1	Tumor
PDCJHU_C3L.01662_T	PDCJHU	1	Tumor
PDCJHU_C3N.00303_T	PDCJHU	1	Tumor
PDCJHU_C3L.01703_T	PDCJHU	1	Tumor
PDCJHU_C3L.03632_T	PDCJHU	1	Tumor
PDCJHU_C3N.01383_T	PDCJHU	1	Tumor
PDCJHU_C3N.02010_T	PDCJHU	1	Tumor
PDCJHU_C3L.01124_T	PDCJHU	1	Tumor
PDCJHU_C3N.01382_T	PDCJHU	1	Tumor
PDCJHU_C3N.00302_T	PDCJHU	1	Tumor
PDCJHU_C3L.00102_T	PDCJHU	1	Tumor
PDCJHU_C3L.04080_T	PDCJHU	1	Tumor
PDCJHU_C3N.00518_T	PDCJHU	1	Tumor
PDCJHU_C3L.02116_T	PDCJHU	1	Tumor
PDCJHU_C3N.03665_T	PDCJHU	1	Tumor
PDCJHU_C3L.04072_T	PDCJHU	1	Tumor
PDCJHU_C3N.02998_T	PDCJHU	1	Tumor
PDCJHU_C3N.03840_T	PDCJHU	1	Tumor
PDCJHU_C3N.00517_T	PDCJHU	1	Tumor
PDCJHU_C3L.02112_T	PDCJHU	1	Tumor
PDCJHU_C3L.00598_T	PDCJHU	1	Tumor
PDCJHU_C3L.00928_T	PDCJHU	1	Tumor
PDCJHU_C3N.03426_T	PDCJHU	1	Tumor
PDCJHU_C3N.01714_T	PDCJHU	1	Tumor
PDCJHU_C3N.03039_T	PDCJHU	1	Tumor
PDCJHU_C3N.01165_T	PDCJHU	1	Tumor
PDCJHU_C3N.01502_T	PDCJHU	1	Tumor
PDCJHU_C3N.01380_T	PDCJHU	1	Tumor
PDCJHU_C3L.02604_T	PDCJHU	1	Tumor
PDCJHU_C3N.02585_T	PDCJHU	1	Tumor
PDCJHU_C3N.04119_T	PDCJHU	1	Tumor
PDCJHU_C3L.04853_T	PDCJHU	1	Tumor
PDCJHU_C3N.03007_T	PDCJHU	1	Tumor
PDCJHU_C3N.04284_T	PDCJHU	1	Tumor
PDCJHU_C3N.02592_T	PDCJHU	1	Tumor
PDCJHU_C3N.02944_T	PDCJHU	1	Tumor
PDCJHU_C3L.00640_T	PDCJHU	1	Tumor
PDCJHU_C3N.01719_T	PDCJHU	1	Tumor
PDCJHU_C3L.03639_T	PDCJHU	1	Tumor
PDCJHU_C3L.00017_T	PDCJHU	1	Tumor
PDCJHU_C3N.03670_T	PDCJHU	1	Tumor
PDCJHU_C3L.01328_T	PDCJHU	1	Tumor
PDCJHU_C3N.00514_T	PDCJHU	1	Tumor
PDCJHU_C3N.02295_T	PDCJHU	1	Tumor
PDCJHU_C3N.02573_T	PDCJHU	1	Tumor
PDCJHU_C3L.01052_T	PDCJHU	1	Tumor
PDCJHU_C3L.00622_T	PDCJHU	1	Tumor
PDCJHU_C3N.00709_T	PDCJHU	1	Tumor
PDCJHU_C3L.04027_T	PDCJHU	1	Tumor
PDCJHU_C3L.02701_T	PDCJHU	1	Tumor
PDCJHU_C3L.01053_T	PDCJHU	1	Tumor
PDCJHU_C3N.03190_T	PDCJHU	1	Tumor
PDCJHU_C3N.01715_T	PDCJHU	1	Tumor
PDCJHU_C3L.01031_T	PDCJHU	1	Tumor
PDCJHU_C3N.01012_T	PDCJHU	1	Tumor
PDCJHU_C3N.01167_T	PDCJHU	1	Tumor
PDCJHU_C3N.01011_T	PDCJHU	1	Tumor
PDCJHU_C3N.03839_T	PDCJHU	1	Tumor
PDCJHU_C3N.01375_T	PDCJHU	1	Tumor
PDCJHU_C3N.01381_T	PDCJHU	1	Tumor
PDCJHU_C3L.00401_T	PDCJHU	1	Tumor
PDCJHU_C3L.02118_T	PDCJHU	1	Tumor
PDCJHU_C3N.00511_T	PDCJHU	1	Tumor
PDCJHU_C3L.02613_T	PDCJHU	1	Tumor
PDCJHU_C3N.00512_T	PDCJHU	1	Tumor
PDCJHU_C3L.02899_T	PDCJHU	1	Tumor
PDCJHU_C3N.03006_T	PDCJHU	1	Tumor
PDCJHU_C3N.03069_T	PDCJHU	1	Tumor
PDCKU_PDAC102	PDCKU	1	Tumor
PDCKU_PDAC025	PDCKU	1	Tumor
PDCKU_PDAC189	PDCKU	1	Tumor
PDCKU_PDAC186	PDCKU	1	Tumor
PDCKU_PDAC158	PDCKU	1	Tumor
PDCKU_PDAC041	PDCKU	1	Tumor
PDCKU_PDAC048	PDCKU	1	Tumor
PDCKU_PDAC113	PDCKU	1	Tumor
PDCKU_PDAC076	PDCKU	1	Tumor
PDCKU_PDAC023	PDCKU	1	Tumor
PDCKU_PDAC132	PDCKU	1	Tumor
PDCKU_PDAC117	PDCKU	1	Tumor
PDCKU_PDAC173	PDCKU	1	Tumor
PDCKU_PDAC024	PDCKU	1	Tumor
PDCKU_PDAC078	PDCKU	1	Tumor
PDCKU_PDAC151	PDCKU	1	Tumor
PDCKU_PDAC016	PDCKU	1	Tumor
PDCKU_PDAC087	PDCKU	1	Tumor
PDCKU_PDAC136	PDCKU	1	Tumor
PDCKU_PDAC045	PDCKU	1	Tumor
PDCKU_PDAC085	PDCKU	1	Tumor
PDCKU_PDAC022	PDCKU	1	Tumor
PDCKU_PDAC107	PDCKU	1	Tumor
PDCKU_PDAC126	PDCKU	1	Tumor
PDCKU_PDAC180	PDCKU	1	Tumor
PDCKU_PDAC124	PDCKU	1	Tumor
PDCKU_PDAC006	PDCKU	1	Tumor
PDCKU_PDAC054	PDCKU	1	Tumor
PDCKU_PDAC030	PDCKU	1	Tumor
PDCKU_PDAC011	PDCKU	1	Tumor
PDCKU_PDAC047	PDCKU	1	Tumor
PDCKU_PDAC097	PDCKU	1	Tumor
PDCKU_PDAC075	PDCKU	1	Tumor
PDCKU_PDAC130	PDCKU	1	Tumor
PDCKU_PDAC178	PDCKU	1	Tumor
PDCKU_PDAC199	PDCKU	1	Tumor
PDCKU_PDAC050	PDCKU	1	Tumor
PDCKU_PDAC044	PDCKU	1	Tumor
PDCKU_PDAC012	PDCKU	1	Tumor
PDCKU_PDAC098	PDCKU	1	Tumor
PDCKU_PDAC192	PDCKU	1	Tumor
PDCKU_PDAC063	PDCKU	1	Tumor
PDCKU_PDAC167	PDCKU	1	Tumor
PDCKU_PDAC007	PDCKU	1	Tumor
PDCKU_PDAC067	PDCKU	1	Tumor
PDCKU_PDAC005	PDCKU	1	Tumor
PDCKU_PDAC064	PDCKU	1	Tumor
PDCKU_PDAC159	PDCKU	1	Tumor
PDCKU_PDAC058	PDCKU	1	Tumor
PDCKU_PDAC056	PDCKU	1	Tumor
PDCKU_PDAC080	PDCKU	1	Tumor
PDCKU_PDAC073	PDCKU	1	Tumor
PDCKU_PDAC195	PDCKU	1	Tumor
PDCKU_PDAC137	PDCKU	1	Tumor
PDCKU_PDAC029	PDCKU	1	Tumor
PDCKU_PDAC082	PDCKU	1	Tumor
PDCKU_PDAC083	PDCKU	1	Tumor
PDCKU_PDAC211	PDCKU	1	Tumor
PDCKU_PDAC043	PDCKU	1	Tumor
PDCKU_PDAC040	PDCKU	1	Tumor
PDCKU_PDAC061	PDCKU	1	Tumor
PDCKU_PDAC209	PDCKU	1	Tumor
PDCKU_PDAC174	PDCKU	1	Tumor
PDCKU_PDAC074	PDCKU	1	Tumor
PDCKU_PDAC096	PDCKU	1	Tumor
PDCKU_PDAC019	PDCKU	1	Tumor
PDCKU_PDAC101	PDCKU	1	Tumor
PDCKU_PDAC213	PDCKU	1	Tumor
PDCKU_PDAC010	PDCKU	1	Tumor
PDCKU_PDAC112	PDCKU	1	Tumor
PDCKU_PDAC106	PDCKU	1	Tumor
PDCKU_PDAC013	PDCKU	1	Tumor
PDCKU_PDAC129	PDCKU	1	Tumor
PDCKU_PDAC205	PDCKU	1	Tumor
PDCKU_PDAC135	PDCKU	1	Tumor
