Gene,EntrezID,Gene description,Concentration,Concentration(ng/L)
IGKV3-20,28912,Immunoglobulin kappa variable 3-20,20 mg/L,20000000
IGHV3-35,28432,Immunoglobulin heavy variable 3-35 (non-functional),19 mg/L,19000000
KRT10,3858,Keratin 10,18 mg/L,18000000
IGHV3-11,28450,Immunoglobulin heavy variable 3-11,18 mg/L,18000000
IGKV3-11,28914,Immunoglobulin kappa variable 3-11,18 mg/L,18000000
PON1,5444,Paraoxonase 1,17 mg/L,17000000
PZP,5858,PZP alpha-2-macroglobulin like,15 mg/L,15000000
APOC1,341,Apolipoprotein C1,15 mg/L,15000000
C1RL,51279,Complement C1r subcomponent like,15 mg/L,15000000
SERPINA4,5267,Serpin family A member 4,14 mg/L,14000000
FCN3,8547,Ficolin 3,14 mg/L,14000000
C1S,716,Complement C1s,14 mg/L,14000000
HBA2,3040,Hemoglobin subunit alpha 2,14 mg/L,14000000
HBA1,3039,Hemoglobin subunit alpha 1,14 mg/L,14000000
IGHD,3495,Immunoglobulin heavy constant delta,14 mg/L,14000000
CPN1,1369,Carboxypeptidase N subunit 1,13 mg/L,13000000
F10,2159,Coagulation factor X,13 mg/L,13000000
F5,2153,Coagulation factor V,13 mg/L,13000000
IGKV1-12,28940,Immunoglobulin kappa variable 1-12,13 mg/L,13000000
CFHR1,3078,Complement factor H related 1,13 mg/L,13000000
CFI,3426,Complement factor I,12 mg/L,12000000
IGKV1-6,28943,Immunoglobulin kappa variable 1-6,12 mg/L,12000000
IGKV1D-12,28903,Immunoglobulin kappa variable 1D-12,12 mg/L,12000000
SAA1,6288,Serum amyloid A1,11 mg/L,11000000
IGKV3D-20,28874,Immunoglobulin kappa variable 3D-20,11 mg/L,11000000
CD14,929,CD14 molecule,10 mg/L,10000000
IGKV1-16,28938,Immunoglobulin kappa variable 1-16,10 mg/L,10000000
HBB,3043,Hemoglobin subunit beta,10 mg/L,10000000
KRT2,3849,Keratin 2,9.7 mg/L,9700000
IGHV3-72,28410,Immunoglobulin heavy variable 3-72,9.6 mg/L,9600000
BCHE,590,Butyrylcholinesterase,9.4 mg/L,9400000
HGFAC,3083,HGF activator,9.3 mg/L,9300000
C6,729,Complement C6,9.2 mg/L,9200000
APOL1,8542,Apolipoprotein L1,9.2 mg/L,9200000
SAA2,6289,Serum amyloid A2,9.2 mg/L,9200000
SHBG,6462,Sex hormone binding globulin,9.1 mg/L,9100000
ITIH3,3699,Inter-alpha-trypsin inhibitor heavy chain 3,9.1 mg/L,9100000
IGKV1D-16,28901,Immunoglobulin kappa variable 1D-16,9.0 mg/L,9000000
AFM,173,Afamin,8.7 mg/L,8700000
ECM1,1893,Extracellular matrix protein 1,8.7 mg/L,8700000
CPB2,1361,Carboxypeptidase B2,8.5 mg/L,8500000
IGKV4-1,28908,Immunoglobulin kappa variable 4-1,8.5 mg/L,8500000
IGHV3-30,28439,Immunoglobulin heavy variable 3-30,8.5 mg/L,8500000
IGKV1-17,28937,Immunoglobulin kappa variable 1-17,8.4 mg/L,8400000
IGKV1-5,28299,Immunoglobulin kappa variable 1-5,8.4 mg/L,8400000
IGKV1-27,28935,Immunoglobulin kappa variable 1-27,8.3 mg/L,8300000
F9,2158,Coagulation factor IX,8.2 mg/L,8200000
APOM,55937,Apolipoprotein M,8.2 mg/L,8200000
IGKV1-39,28930,Immunoglobulin kappa variable 1-39,8.0 mg/L,8000000
IGHV3-33,28434,Immunoglobulin heavy variable 3-33,7.5 mg/L,7500000
IGHV3-66,28412,Immunoglobulin heavy variable 3-66,7.2 mg/L,7200000
IGKV3-15,28913,Immunoglobulin kappa variable 3-15,7.2 mg/L,7200000
LGALS3BP,3959,Galectin 3 binding protein,7.1 mg/L,7100000
F12,2161,Coagulation factor XII,7.0 mg/L,7000000
IGKV2-30,28919,Immunoglobulin kappa variable 2-30,6.8 mg/L,6800000
C8B,732,Complement C8 beta chain,6.7 mg/L,6700000
IGKV3D-11,28876,Immunoglobulin kappa variable 3D-11,6.7 mg/L,6700000
IGKV1D-37,28894,Immunoglobulin kappa variable 1D-37 (non-functional),6.7 mg/L,6700000
HBD,3045,Hemoglobin subunit delta,6.6 mg/L,6600000
C8A,731,Complement C8 alpha chain,6.4 mg/L,6400000
LCAT,3931,Lecithin-cholesterol acyltransferase,6.4 mg/L,6400000
CFP,5199,Complement factor properdin,6.2 mg/L,6200000
GPX3,2878,Glutathione peroxidase 3,6.2 mg/L,6200000
IGKV1-8,28942,Immunoglobulin kappa variable 1-8,6.1 mg/L,6100000
ACTB,60,Actin beta,5.8 mg/L,5800000
CHL1,10752,Cell adhesion molecule L1 like,5.8 mg/L,5800000
VWF,7450,Von Willebrand factor,5.6 mg/L,5600000
IGHV4-59,28392,Immunoglobulin heavy variable 4-59,5.5 mg/L,5500000
KLKB1,3818,Kallikrein B1,5.3 mg/L,5300000
PROC,5624,"Protein C, inactivator of coagulation factors Va and VIIIa",5.2 mg/L,5200000
CRP,1401,C-reactive protein,5.2 mg/L,5200000
PROS1,5627,Protein S,5.0 mg/L,5000000
IGHV4-39,28394,Immunoglobulin heavy variable 4-39,5.0 mg/L,5000000
ACTG1,71,Actin gamma 1,4.9 mg/L,4900000
IGKV1D-33,28896,Immunoglobulin kappa variable 1D-33,4.9 mg/L,4900000
CFHR2,3080,Complement factor H related 2,4.8 mg/L,4800000
IGKV3D-15,28875,Immunoglobulin kappa variable 3D-15,4.8 mg/L,4800000
SERPINA10,51156,Serpin family A member 10,4.7 mg/L,4700000
F13B,2165,Coagulation factor XIII B chain,4.7 mg/L,4700000
SELL,6402,Selectin L,4.7 mg/L,4700000
IGLV3-21,28796,Immunoglobulin lambda variable 3-21,4.7 mg/L,4700000
IGHV1-18,28468,Immunoglobulin heavy variable 1-18,4.7 mg/L,4700000
CA1,759,Carbonic anhydrase 1,4.6 mg/L,4600000
KRT6A,3853,Keratin 6A,4.5 mg/L,4500000
IGKV1-9,28941,Immunoglobulin kappa variable 1-9,4.5 mg/L,4500000
F11,2160,Coagulation factor XI,4.4 mg/L,4400000
HABP2,3026,Hyaluronan binding protein 2,4.4 mg/L,4400000
CFD,1675,Complement factor D,4.4 mg/L,4400000
IGHV4-61,28391,Immunoglobulin heavy variable 4-61,4.4 mg/L,4400000
CD5L,922,CD5 molecule like,4.3 mg/L,4300000
PRG4,10216,Proteoglycan 4,4.3 mg/L,4300000
IGLV3-1,28809,Immunoglobulin lambda variable 3-1,4.3 mg/L,4300000
IGHV4-34,28395,Immunoglobulin heavy variable 4-34,4.3 mg/L,4300000
IGHV3-53,28420,Immunoglobulin heavy variable 3-53,4.3 mg/L,4300000
IGHV3-64,28414,Immunoglobulin heavy variable 3-64,4.3 mg/L,4300000
IGLV1-44,28823,Immunoglobulin lambda variable 1-44,4.0 mg/L,4000000
IGHV1-2,28474,Immunoglobulin heavy variable 1-2,4.0 mg/L,4000000
IGHV3-43,28426,Immunoglobulin heavy variable 3-43,4.0 mg/L,4000000
IGHV4-4,28401,Immunoglobulin heavy variable 4-4,3.8 mg/L,3800000
IGKV3D-7,28877,Immunoglobulin kappa variable 3D-7,3.7 mg/L,3700000
FETUB,26998,Fetuin B,3.6 mg/L,3600000
IGFBP3,3486,Insulin like growth factor binding protein 3,3.6 mg/L,3600000
KRT5,3852,Keratin 5,3.6 mg/L,3600000
IGKV2D-28,28883,Immunoglobulin kappa variable 2D-28,3.5 mg/L,3500000
LYVE1,10894,Lymphatic vessel endothelial hyaluronan receptor 1,3.3 mg/L,3300000
IGLV3-25,28793,Immunoglobulin lambda variable 3-25,3.2 mg/L,3200000
IGHV3-16,28447,Immunoglobulin heavy variable 3-16 (non-functional),3.2 mg/L,3200000
IGHV3-73,28409,Immunoglobulin heavy variable 3-73,3.2 mg/L,3200000
GPLD1,2822,Glycosylphosphatidylinositol specific phospholipase D1,3.1 mg/L,3100000
CFHR3,10878,Complement factor H related 3,3.1 mg/L,3100000
IGHV1-24,28467,Immunoglobulin heavy variable 1-24,3.1 mg/L,3100000
ANXA1,301,Annexin A1,3.0 mg/L,3000000
IGLV1-47,28822,Immunoglobulin lambda variable 1-47,3.0 mg/L,3000000
PPBP,5473,Pro-platelet basic protein,2.9 mg/L,2900000
PI16,221476,Peptidase inhibitor 16,2.9 mg/L,2900000
IGHV3-38,28429,Immunoglobulin heavy variable 3-38 (non-functional),2.9 mg/L,2900000
IGHV1-46,28465,Immunoglobulin heavy variable 1-46,2.9 mg/L,2900000
CST3,1471,Cystatin C,2.8 mg/L,2800000
ACTA1,58,"Actin alpha 1, skeletal muscle",2.8 mg/L,2800000
BTD,686,Biotinidase,2.8 mg/L,2800000
C8G,733,Complement C8 gamma chain,2.8 mg/L,2800000
C1QA,712,Complement C1q A chain,2.7 mg/L,2700000
IGHV5-51,28388,Immunoglobulin heavy variable 5-51,2.7 mg/L,2700000
IGHV1-69,28461,Immunoglobulin heavy variable 1-69,2.7 mg/L,2700000
QSOX1,5768,Quiescin sulfhydryl oxidase 1,2.6 mg/L,2600000
IGHV1-3,28473,Immunoglobulin heavy variable 1-3,2.6 mg/L,2600000
PTGDS,5730,Prostaglandin D2 synthase,2.5 mg/L,2500000
IGHV4-28,28400,Immunoglobulin heavy variable 4-28,2.5 mg/L,2500000
IGHV3-64D,102723170,Immunoglobulin heavy variable 3-64D,2.5 mg/L,2500000
ACTC1,70,Actin alpha cardiac muscle 1,2.4 mg/L,2400000
NCAM1,4684,Neural cell adhesion molecule 1,2.3 mg/L,2300000
IGLV1-40,28825,Immunoglobulin lambda variable 1-40,2.3 mg/L,2300000
ICAM1,3383,Intercellular adhesion molecule 1,2.2 mg/L,2200000
JCHAIN,3512,Joining chain of multimeric IgA and IgM,2.2 mg/L,2200000
APOF,319,Apolipoprotein F,2.2 mg/L,2200000
IGLV2-14,28815,Immunoglobulin lambda variable 2-14,2.2 mg/L,2200000
IGHV3-20,28445,Immunoglobulin heavy variable 3-20,2.2 mg/L,2200000
CNDP1,84735,Carnosine dipeptidase 1,2.1 mg/L,2100000
C1QC,714,Complement C1q C chain,2.1 mg/L,2100000
B2M,567,Beta-2-microglobulin,2.1 mg/L,2100000
SERPINA5,5104,Serpin family A member 5,2.1 mg/L,2100000
VASN,114990,Vasorin,2.0 mg/L,2000000
IGLV3-10,28803,Immunoglobulin lambda variable 3-10,2.0 mg/L,2000000
MCAM,4162,Melanoma cell adhesion molecule,1.9 mg/L,1900000
EFEMP1,2202,EGF containing fibulin extracellular matrix protein 1,1.9 mg/L,1900000
MASP1,5648,Mannan binding lectin serine peptidase 1,1.9 mg/L,1900000
CFHR5,81494,Complement factor H related 5,1.9 mg/L,1900000
MBL2,4153,Mannose binding lectin 2,1.9 mg/L,1900000
KRT79,338785,Keratin 79,1.9 mg/L,1900000
POTEF,728378,POTE ankyrin domain family member F,1.9 mg/L,1900000
IGLV6-57,28778,Immunoglobulin lambda variable 6-57,1.9 mg/L,1900000
IGKV1D-8,28904,Immunoglobulin kappa variable 1D-8,1.9 mg/L,1900000
IGKV2D-40,28878,Immunoglobulin kappa variable 2D-40,1.9 mg/L,1900000
LCP1,3936,Lymphocyte cytosolic protein 1,1.8 mg/L,1800000
LPA,4018,Lipoprotein(a),1.8 mg/L,1800000
SELENOP,6414,Selenoprotein P,1.8 mg/L,1800000
KRT8,3856,Keratin 8,1.7 mg/L,1700000
KRT16,3868,Keratin 16,1.7 mg/L,1700000
IGLV1-51,28820,Immunoglobulin lambda variable 1-51,1.7 mg/L,1700000
TGFBI,7045,Transforming growth factor beta induced,1.6 mg/L,1600000
DBH,1621,Dopamine beta-hydroxylase,1.6 mg/L,1600000
ALCAM,214,Activated leukocyte cell adhesion molecule,1.6 mg/L,1600000
CD163,9332,CD163 molecule,1.6 mg/L,1600000
CSF1R,1436,Colony stimulating factor 1 receptor,1.6 mg/L,1600000
GP1BA,2811,Glycoprotein Ib platelet subunit alpha,1.6 mg/L,1600000
KRT14,3861,Keratin 14,1.6 mg/L,1600000
IGHV3-49,28423,Immunoglobulin heavy variable 3-49,1.6 mg/L,1600000
LYZ,4069,Lysozyme,1.5 mg/L,1500000
COMP,1311,Cartilage oligomeric matrix protein,1.5 mg/L,1500000
TNXB,7148,Tenascin XB,1.5 mg/L,1500000
KRT75,9119,Keratin 75,1.5 mg/L,1500000
IGLV3-9,28804,Immunoglobulin lambda variable 3-9,1.5 mg/L,1500000
IGKV2D-29,28882,Immunoglobulin kappa variable 2D-29,1.5 mg/L,1500000
IGLV2-8,28817,Immunoglobulin lambda variable 2-8,1.5 mg/L,1500000
GAPDH,2597,Glyceraldehyde-3-phosphate dehydrogenase,1.4 mg/L,1400000
F13A1,2162,Coagulation factor XIII A chain,1.4 mg/L,1400000
THBS1,7057,Thrombospondin 1,1.4 mg/L,1400000
HSPG2,3339,Heparan sulfate proteoglycan 2,1.4 mg/L,1400000
FCN2,2220,Ficolin 2,1.4 mg/L,1400000
F7,2155,Coagulation factor VII,1.3 mg/L,1300000
PCOLCE,5118,Procollagen C-endopeptidase enhancer,1.3 mg/L,1300000
LBP,3929,Lipopolysaccharide binding protein,1.3 mg/L,1300000
KRT7,3855,Keratin 7,1.3 mg/L,1300000
TLN1,7094,Talin 1,1.3 mg/L,1300000
VCAM1,7412,Vascular cell adhesion molecule 1,1.3 mg/L,1300000
PIGR,5284,Polymeric immunoglobulin receptor,1.3 mg/L,1300000
CDH5,1003,Cadherin 5,1.3 mg/L,1300000
CD44,960,CD44 molecule (Indian blood group),1.2 mg/L,1200000
ENPP2,5168,Ectonucleotide pyrophosphatase/phosphodiesterase 2,1.2 mg/L,1200000
GGH,8836,Gamma-glutamyl hydrolase,1.2 mg/L,1200000
S100A9,6280,S100 calcium binding protein A9,1.2 mg/L,1200000
ANPEP,290,"Alanyl aminopeptidase, membrane",1.2 mg/L,1200000
IGF2,3481,Insulin like growth factor 2,1.2 mg/L,1200000
KRT77,374454,Keratin 77,1.2 mg/L,1200000
IGLV3-19,28797,Immunoglobulin lambda variable 3-19,1.2 mg/L,1200000
IGHV1-69D,102723169,Immunoglobulin heavy variable 1-69D,1.2 mg/L,1200000
IGHV5-10-1,28386,Immunoglobulin heavy variable 5-10-1,1.2 mg/L,1200000
C4BPB,725,Complement component 4 binding protein beta,1.1 mg/L,1100000
RNASE1,6035,"Ribonuclease A family member 1, pancreatic",1.1 mg/L,1100000
IGLV3-22,28795,Immunoglobulin lambda variable 3-22,1.1 mg/L,1100000
IGHV1-69-2,28458,Immunoglobulin heavy variable 1-69-2,1.1 mg/L,1100000
COL6A3,1293,Collagen type VI alpha 3 chain,1.0 mg/L,1000000
IGKV2D-26,28884,Immunoglobulin kappa variable 2D-26,1.0 mg/L,1000000
IGKV1D-17,28900,Immunoglobulin kappa variable 1D-17,1.0 mg/L,1000000
PROCR,10544,Protein C receptor,980 µg/L,980000
VNN1,8876,Vanin 1,980 µg/L,980000
IGLV1-36,28826,Immunoglobulin lambda variable 1-36,980 µg/L,980000
IGLV2-11,28816,Immunoglobulin lambda variable 2-11,980 µg/L,980000
APOC4,346,Apolipoprotein C4,980 µg/L,980000
IGHV6-1,28385,Immunoglobulin heavy variable 6-1,930 µg/L,930000
ADIPOQ,9370,"Adiponectin, C1Q and collagen domain containing",910 µg/L,910000
PRSS2,5645,Serine protease 2,890 µg/L,890000
PEPD,5184,Peptidase D,860 µg/L,860000
IGLV3-12,28802,Immunoglobulin lambda variable 3-12,850 µg/L,850000
IGKV3-7,28915,Immunoglobulin kappa variable 3-7 (non-functional),850 µg/L,850000
TNC,3371,Tenascin C,840 µg/L,840000
IGKV2-24,28923,Immunoglobulin kappa variable 2-24,840 µg/L,840000
ACTBL2,345651,Actin beta like 2,830 µg/L,830000
MASP2,10747,Mannan binding lectin serine peptidase 2,820 µg/L,820000
IGFBP2,3485,Insulin like growth factor binding protein 2,810 µg/L,810000
PRDX2,7001,Peroxiredoxin 2,800 µg/L,800000
HSPA5,3309,Heat shock protein family A (Hsp70) member 5,790 µg/L,790000
NRP1,8829,Neuropilin 1,780 µg/L,780000
CAT,847,Catalase,760 µg/L,760000
VCL,7414,Vinculin,750 µg/L,750000
ICAM2,3384,Intercellular adhesion molecule 2,730 µg/L,730000
FLNA,2316,Filamin A,730 µg/L,730000
PVR,5817,PVR cell adhesion molecule,720 µg/L,720000
PLXDC2,84898,Plexin domain containing 2,720 µg/L,720000
IGLV3-27,28791,Immunoglobulin lambda variable 3-27,720 µg/L,720000
IGHV4-31,28396,Immunoglobulin heavy variable 4-31,710 µg/L,710000
PRSS3,5646,Serine protease 3,700 µg/L,700000
IGHV2-5,28457,Immunoglobulin heavy variable 2-5,700 µg/L,700000
KRT13,3860,Keratin 13,680 µg/L,680000
PTPRJ,5795,Protein tyrosine phosphatase receptor type J,670 µg/L,670000
PFN1,5216,Profilin 1,660 µg/L,660000
POSTN,10631,Periostin,660 µg/L,660000
PROZ,8858,"Protein Z, vitamin K dependent plasma glycoprotein",650 µg/L,650000
ALDOA,226,"Aldolase, fructose-bisphosphate A",640 µg/L,640000
SPARCL1,8404,SPARC like 1,630 µg/L,630000
IGLV8-61,28774,Immunoglobulin lambda variable 8-61,620 µg/L,620000
KRT17,3872,Keratin 17,610 µg/L,610000
KRT4,3851,Keratin 4,600 µg/L,600000
LCN2,3934,Lipocalin 2,590 µg/L,590000
CA2,760,Carbonic anhydrase 2,570 µg/L,570000
IGLV2-18,28814,Immunoglobulin lambda variable 2-18,570 µg/L,570000
GNPTG,84572,N-acetylglucosamine-1-phosphate transferase subunit gamma,560 µg/L,560000
LDHB,3945,Lactate dehydrogenase B,560 µg/L,560000
ALDOB,229,"Aldolase, fructose-bisphosphate B",560 µg/L,560000
IGHV7-4-1,57289,Immunoglobulin heavy variable 7-4-1,560 µg/L,560000
CRTAC1,55118,Cartilage acidic protein 1,550 µg/L,550000
CD93,22918,CD93 molecule,550 µg/L,550000
ABI3BP,25890,ABI family member 3 binding protein,550 µg/L,550000
IGLV2-23,28813,Immunoglobulin lambda variable 2-23,540 µg/L,540000
LAMP2,3920,Lysosomal associated membrane protein 2,520 µg/L,520000
TIMP1,7076,TIMP metallopeptidase inhibitor 1,520 µg/L,520000
PTPRG,5793,Protein tyrosine phosphatase receptor type G,520 µg/L,520000
FBN1,2200,Fibrillin 1,520 µg/L,520000
SELP,6403,Selectin P,520 µg/L,520000
MEGF8,1954,Multiple EGF like domains 8,510 µg/L,510000
SOD3,6649,Superoxide dismutase 3,510 µg/L,510000
THBS4,7060,Thrombospondin 4,510 µg/L,510000
PCYOX1,51449,Prenylcysteine oxidase 1,510 µg/L,510000
HEG1,57493,Heart development protein with EGF like domains 1,510 µg/L,510000
HBE1,3046,Hemoglobin subunit epsilon 1,510 µg/L,510000
SPP2,6694,Secreted phosphoprotein 2,480 µg/L,480000
KRT15,3866,Keratin 15,480 µg/L,480000
RARRES2,5919,Retinoic acid receptor responder 2,460 µg/L,460000
MAN1A1,4121,Mannosidase alpha class 1A member 1,460 µg/L,460000
CNTN1,1272,Contactin 1,450 µg/L,450000
KRT31,3881,Keratin 31,440 µg/L,440000
CRISP3,10321,Cysteine rich secretory protein 3,420 µg/L,420000
PPP1R9B,84687,Protein phosphatase 1 regulatory subunit 9B,420 µg/L,420000
PCSK9,255738,Proprotein convertase subtilisin/kexin type 9,420 µg/L,420000
MYH9,4627,Myosin heavy chain 9,410 µg/L,410000
IGFBP4,3487,Insulin like growth factor binding protein 4,410 µg/L,410000
DCD,117159,Dermcidin,410 µg/L,410000
ANG,283,Angiogenin,410 µg/L,410000
NEO1,4756,Neogenin 1,390 µg/L,390000
ICAM3,3385,Intercellular adhesion molecule 3,390 µg/L,390000
CACNA2D1,781,Calcium voltage-gated channel auxiliary subunit alpha2delta 1,390 µg/L,390000
PON3,5446,Paraoxonase 3,380 µg/L,380000
IGFBP5,3488,Insulin like growth factor binding protein 5,380 µg/L,380000
PLEK,5341,Pleckstrin,380 µg/L,380000
ROBO4,54538,Roundabout guidance receptor 4,380 µg/L,380000
NEGR1,257194,Neuronal growth regulator 1,380 µg/L,380000
IGHV1-45,28466,Immunoglobulin heavy variable 1-45,380 µg/L,380000
IGKV1D-43,28891,Immunoglobulin kappa variable 1D-43,380 µg/L,380000
BLVRB,645,Biliverdin reductase B,370 µg/L,370000
MINPP1,9562,Multiple inositol-polyphosphate phosphatase 1,370 µg/L,370000
CTBS,1486,Chitobiase,370 µg/L,370000
CTSD,1509,Cathepsin D,370 µg/L,370000
S100A8,6279,S100 calcium binding protein A8,370 µg/L,370000
TPM4,7171,Tropomyosin 4,370 µg/L,370000
LAMP1,3916,Lysosomal associated membrane protein 1,370 µg/L,370000
IGKV1D-13,28902,Immunoglobulin kappa variable 1D-13,370 µg/L,370000
CETP,1071,Cholesteryl ester transfer protein,360 µg/L,360000
CD55,1604,CD55 molecule (Cromer blood group),360 µg/L,360000
LTF,4057,Lactotransferrin,350 µg/L,350000
KRT33B,3884,Keratin 33B,350 µg/L,350000
IL1RAP,3556,Interleukin 1 receptor accessory protein,350 µg/L,350000
IGLV3-16,28799,Immunoglobulin lambda variable 3-16,350 µg/L,350000
IGF1,3479,Insulin like growth factor 1,330 µg/L,330000
HSP90B1,7184,Heat shock protein 90 beta family member 1,330 µg/L,330000
DPEP2,64174,Dipeptidase 2,330 µg/L,330000
YWHAZ,7534,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,320 µg/L,320000
IGLV4-69,28784,Immunoglobulin lambda variable 4-69,320 µg/L,320000
PKM,5315,Pyruvate kinase M1/2,310 µg/L,310000
ENO1,2023,Enolase 1,310 µg/L,310000
KRT76,51350,Keratin 76,310 µg/L,310000
IGFBP6,3489,Insulin like growth factor binding protein 6,300 µg/L,300000
KRT24,192666,Keratin 24,300 µg/L,300000
KRT19,3880,Keratin 19,300 µg/L,300000
FLT4,2324,Fms related receptor tyrosine kinase 4,290 µg/L,290000
PLA2G7,7941,Phospholipase A2 group VII,290 µg/L,290000
CFL1,1072,Cofilin 1,290 µg/L,290000
COL18A1,80781,Collagen type XVIII alpha 1 chain,290 µg/L,290000
ENG,2022,Endoglin,280 µg/L,280000
KRT3,3850,Keratin 3,280 µg/L,280000
NAGLU,4669,N-acetyl-alpha-glucosaminidase,270 µg/L,270000
ITGB1,3688,Integrin subunit beta 1,270 µg/L,270000
