Sample	Cancertype	Cancertype_PDC	TN
LUAD_C3N.01071_T	LUAD	LUAD	tumor
LUAD_C3N.00550_T	LUAD	LUAD	tumor
LUAD_C3N.00167_T	LUAD	LUAD	tumor
LUAD_C3L.00001_T	LUAD	LUAD	tumor
LUAD_C3N.01074_T	LUAD	LUAD	tumor
LUAD_C3L.01632_T	LUAD	LUAD	tumor
LUAD_C3N.02155_T	LUAD	LUAD	tumor
LUAD_C3N.00217_T	LUAD	LUAD	tumor
LUAD_C3N.02002_T	LUAD	LUAD	tumor
LUAD_C3N.02145_T	LUAD	LUAD	tumor
LUAD_C3N.02586_T	LUAD	LUAD	tumor
LUAD_C3L.02219_T	LUAD	LUAD	tumor
LUAD_C3N.00180_T	LUAD	LUAD	tumor
LUAD_C3L.01862_T	LUAD	LUAD	tumor
LUAD_C3N.00704_T	LUAD	LUAD	tumor
LUAD_C3N.02158_T	LUAD	LUAD	tumor
LUAD_C3N.02421_T	LUAD	LUAD	tumor
LUAD_C3N.00556_T	LUAD	LUAD	tumor
LUAD_C3N.00294_T	LUAD	LUAD	tumor
LUAD_C3N.01072_T	LUAD	LUAD	tumor
LUAD_C3L.00094_T	LUAD	LUAD	tumor
LUAD_C3L.00144_T	LUAD	LUAD	tumor
LUAD_C3N.00223_T	LUAD	LUAD	tumor
LUAD_C3N.02380_T	LUAD	LUAD	tumor
LUAD_C3L.01924_T	LUAD	LUAD	tumor
LUAD_C3N.00433_T	LUAD	LUAD	tumor
LUAD_C3L.01683_T	LUAD	LUAD	tumor
LUAD_C3N.00293_T	LUAD	LUAD	tumor
LUAD_C3L.00009_T	LUAD	LUAD	tumor
LUAD_C3N.00546_T	LUAD	LUAD	tumor
LUAD_C3N.01414_T	LUAD	LUAD	tumor
LUAD_C3N.02087_T	LUAD	LUAD	tumor
LUAD_C3L.00140_T	LUAD	LUAD	tumor
LUAD_C3N.02529_T	LUAD	LUAD	tumor
LUAD_C3L.00368_T	LUAD	LUAD	tumor
LUAD_C3N.02067_T	LUAD	LUAD	tumor
LUAD_C3N.02422_T	LUAD	LUAD	tumor
LUAD_C3L.00080_T	LUAD	LUAD	tumor
LUAD_C3N.00547_T	LUAD	LUAD	tumor
LUAD_C3N.01023_T	LUAD	LUAD	tumor
LUAD_C3N.01024_T	LUAD	LUAD	tumor
LUAD_C3L.00973_T	LUAD	LUAD	tumor
LUAD_C3L.02348_T	LUAD	LUAD	tumor
LUAD_C3L.02508_T	LUAD	LUAD	tumor
LUAD_C3N.00560_T	LUAD	LUAD	tumor
LUAD_C3L.00604_T	LUAD	LUAD	tumor
LUAD_C3N.00199_T	LUAD	LUAD	tumor
LUAD_C3N.00579_T	LUAD	LUAD	tumor
LUAD_C3N.02582_T	LUAD	LUAD	tumor
LUAD_C3N.02379_T_2	LUAD	LUAD	tumor
LUAD_C3L.02350_T	LUAD	LUAD	tumor
LUAD_C3N.00738_T	LUAD	LUAD	tumor
LUAD_C3N.00959_T	LUAD	LUAD	tumor
LUAD_C3N.02003_T	LUAD	LUAD	tumor
LUAD_C3N.00175_T	LUAD	LUAD	tumor
LUAD_C3N.01823_T	LUAD	LUAD	tumor
LUAD_C3L.02549_T	LUAD	LUAD	tumor
LUAD_C3L.02365_T	LUAD	LUAD	tumor
GBM_C3N.03183	GBM	GBM	tumor
GBM_C3N.01505	GBM	GBM	tumor
GBM_C3N.03188	GBM	GBM	tumor
GBM_C3L.02984	GBM	GBM	tumor
GBM_C3L.02542	GBM	GBM	tumor
GBM_C3L.01142	GBM	GBM	tumor
GBM_C3L.01834	GBM	GBM	tumor
GBM_C3N.02256	GBM	GBM	tumor
GBM_C3N.01814	GBM	GBM	tumor
GBM_C3N.02770	GBM	GBM	tumor
GBM_C3N.01364	GBM	GBM	tumor
GBM_C3L.00365	GBM	GBM	tumor
GBM_C3L.03266	GBM	GBM	tumor
GBM_C3N.01798	GBM	GBM	tumor
GBM_C3L.01146	GBM	GBM	tumor
GBM_C3L.03748	GBM	GBM	tumor
GBM_C3N.02783	GBM	GBM	tumor
GBM_C3L.02708	GBM	GBM	tumor
GBM_C3N.02782	GBM	GBM	tumor
GBM_C3N.02186	GBM	GBM	tumor
GBM_C3N.01367	GBM	GBM	tumor
GBM_C3L.01048	GBM	GBM	tumor
GBM_C3L.01149	GBM	GBM	tumor
GBM_C3L.03260	GBM	GBM	tumor
GBM_C3N.01192	GBM	GBM	tumor
GBM_C3L.03407	GBM	GBM	tumor
GBM_C3L.03387	GBM	GBM	tumor
GBM_C3L.02970	GBM	GBM	tumor
GBM_C3L.01043	GBM	GBM	tumor
GBM_C3L.01156	GBM	GBM	tumor
GBM_C3N.02183	GBM	GBM	tumor
GBM_C3L.03681	GBM	GBM	tumor
GBM_C3L.01154	GBM	GBM	tumor
GBM_C3L.03728	GBM	GBM	tumor
GBM_C3N.01818	GBM	GBM	tumor
GBM_C3L.00674	GBM	GBM	tumor
GBM_C3N.03186	GBM	GBM	tumor
GBM_C3N.02181	GBM	GBM	tumor
GBM_C3N.02784	GBM	GBM	tumor
GBM_C3N.01517	GBM	GBM	tumor
GBM_C3L.02707	GBM	GBM	tumor
GBM_C3L.02955	GBM	GBM	tumor
GBM_C3N.03182	GBM	GBM	tumor
GBM_C3L.03392	GBM	GBM	tumor
GBM_C3L.03405	GBM	GBM	tumor
GBM_C3L.02465	GBM	GBM	tumor
GBM_C3L.03747	GBM	GBM	tumor
GBM_C3N.03473	GBM	GBM	tumor
GBM_C3L.01049	GBM	GBM	tumor
GBM_C3N.02185	GBM	GBM	tumor
GBM_C3N.01851	GBM	GBM	tumor
GBM_C3N.01816	GBM	GBM	tumor
GBM_C3N.01369	GBM	GBM	tumor
GBM_C3L.02642	GBM	GBM	tumor
GBM_C3L.03390	GBM	GBM	tumor
GBM_C3N.03088	GBM	GBM	tumor
GBM_C3L.01155	GBM	GBM	tumor
GBM_C3N.03070	GBM	GBM	tumor
GBM_C3L.01045	GBM	GBM	tumor
GBM_C3L.00677	GBM	GBM	tumor
GBM_C3N.02255	GBM	GBM	tumor
GBM_C3L.01061	GBM	GBM	tumor
GBM_C3L.02041	GBM	GBM	tumor
GBM_C3L.01046	GBM	GBM	tumor
GBM_C3N.01518	GBM	GBM	tumor
GBM_C3N.00662	GBM	GBM	tumor
GBM_C3L.03400	GBM	GBM	tumor
GBM_C3N.01815	GBM	GBM	tumor
GBM_C3N.01856	GBM	GBM	tumor
GBM_C3L.02704	GBM	GBM	tumor
GBM_C3L.01887	GBM	GBM	tumor
GBM_C3N.01857	GBM	GBM	tumor
GBM_C3N.01196	GBM	GBM	tumor
GBM_C3N.01366	GBM	GBM	tumor
GBM_C3N.00661	GBM	GBM	tumor
GBM_C3L.03744	GBM	GBM	tumor
GBM_C3L.03968	GBM	GBM	tumor
GBM_C3L.02504	GBM	GBM	tumor
GBM_C3N.02788	GBM	GBM	tumor
GBM_C3L.04084	GBM	GBM	tumor
GBM_C3L.01157	GBM	GBM	tumor
GBM_C3L.02705	GBM	GBM	tumor
GBM_C3N.01334	GBM	GBM	tumor
GBM_C3N.03180	GBM	GBM	tumor
GBM_C3N.01852	GBM	GBM	tumor
GBM_C3L.03727	GBM	GBM	tumor
GBM_C3N.01368	GBM	GBM	tumor
GBM_C3N.00665	GBM	GBM	tumor
GBM_C3N.03184	GBM	GBM	tumor
GBM_C3L.02900	GBM	GBM	tumor
GBM_C3N.00663	GBM	GBM	tumor
GBM_C3L.01327	GBM	GBM	tumor
GBM_C3N.02786	GBM	GBM	tumor
GBM_C3L.01040	GBM	GBM	tumor
GBM_C3N.02188	GBM	GBM	tumor
GBM_C3N.01515	GBM	GBM	tumor
GBM_C3L.00104	GBM	GBM	tumor
GBM_C3N.02769	GBM	GBM	tumor
GBM_C3N.02785	GBM	GBM	tumor
GBM_C3N.02190	GBM	GBM	tumor
PDCJHU_C3N.03884_T	PDC	PDCJHU	tumor
PDCJHU_C3L.03123_T	PDC	PDCJHU	tumor
PDCJHU_C3L.01687_T	PDC	PDCJHU	tumor
PDCJHU_C3L.00589_T	PDC	PDCJHU	tumor
PDCJHU_C3L.00599_T	PDC	PDCJHU	tumor
PDCJHU_C3L.01054_T	PDC	PDCJHU	tumor
PDCJHU_C3N.01379_T	PDC	PDCJHU	tumor
PDCJHU_C3L.03356_T	PDC	PDCJHU	tumor
PDCJHU_C3L.03630_T	PDC	PDCJHU	tumor
PDCJHU_C3L.02890_T	PDC	PDCJHU	tumor
PDCJHU_C3N.01166_T	PDC	PDCJHU	tumor
PDCJHU_C3N.04126_T	PDC	PDCJHU	tumor
PDCJHU_C3L.02610_T	PDC	PDCJHU	tumor
PDCJHU_C3N.03853_T	PDC	PDCJHU	tumor
PDCJHU_C3N.03000_T	PDC	PDCJHU	tumor
PDCJHU_C3N.04283_T	PDC	PDCJHU	tumor
PDCJHU_C3L.04495_T	PDC	PDCJHU	tumor
PDCJHU_C3L.01689_T	PDC	PDCJHU	tumor
PDCJHU_C3N.02768_T	PDC	PDCJHU	tumor
PDCJHU_C3N.03430_T	PDC	PDCJHU	tumor
PDCJHU_C3L.03371_T	PDC	PDCJHU	tumor
PDCJHU_C3N.01388_T	PDC	PDCJHU	tumor
PDCJHU_C3L.03388_T	PDC	PDCJHU	tumor
PDCJHU_C3L.01971_T	PDC	PDCJHU	tumor
PDCJHU_C3N.01900_T	PDC	PDCJHU	tumor
PDCJHU_C3L.03628_T	PDC	PDCJHU	tumor
PDCJHU_C3N.01998_T	PDC	PDCJHU	tumor
PDCJHU_C3L.01637_T	PDC	PDCJHU	tumor
PDCJHU_C3N.00198_T	PDC	PDCJHU	tumor
PDCJHU_C3L.03394_T	PDC	PDCJHU	tumor
PDCJHU_C3N.01907_T	PDC	PDCJHU	tumor
PDCJHU_C3N.02971_T	PDC	PDCJHU	tumor
PDCJHU_C3N.00249_T	PDC	PDCJHU	tumor
PDCJHU_C3N.03754_T	PDC	PDCJHU	tumor
PDCJHU_C3L.01453_T	PDC	PDCJHU	tumor
PDCJHU_C3L.02809_T	PDC	PDCJHU	tumor
PDCJHU_C3L.02109_T	PDC	PDCJHU	tumor
PDCJHU_C3L.01598_T	PDC	PDCJHU	tumor
PDCJHU_C3N.03173_T	PDC	PDCJHU	tumor
PDCJHU_C3N.03666_T	PDC	PDCJHU	tumor
PDCJHU_C3L.04479_T	PDC	PDCJHU	tumor
PDCJHU_C3N.01168_T	PDC	PDCJHU	tumor
PDCJHU_C3L.02606_T	PDC	PDCJHU	tumor
PDCJHU_C3N.01997_T	PDC	PDCJHU	tumor
PDCJHU_C3N.02589_T	PDC	PDCJHU	tumor
PDCJHU_C3L.02463_T	PDC	PDCJHU	tumor
PDCJHU_C3L.03743_T	PDC	PDCJHU	tumor
PDCJHU_C3L.01051_T	PDC	PDCJHU	tumor
PDCJHU_C3N.03211_T	PDC	PDCJHU	tumor
PDCJHU_C3N.02940_T	PDC	PDCJHU	tumor
PDCJHU_C3N.00436_T	PDC	PDCJHU	tumor
PDCJHU_C3N.01716_T	PDC	PDCJHU	tumor
PDCJHU_C3L.04475_T	PDC	PDCJHU	tumor
PDCJHU_C3N.00516_T	PDC	PDCJHU	tumor
PDCJHU_C3L.02115_T	PDC	PDCJHU	tumor
PDCJHU_C3L.04473_T	PDC	PDCJHU	tumor
PDCJHU_C3L.03129_T	PDC	PDCJHU	tumor
PDCJHU_C3L.04848_T	PDC	PDCJHU	tumor
PDCJHU_C3L.00881_T	PDC	PDCJHU	tumor
PDCJHU_C3L.00277_T	PDC	PDCJHU	tumor
PDCJHU_C3N.00513_T	PDC	PDCJHU	tumor
PDCJHU_C3N.02579_T	PDC	PDCJHU	tumor
PDCJHU_C3L.03395_T	PDC	PDCJHU	tumor
PDCJHU_C3N.03780_T	PDC	PDCJHU	tumor
PDCJHU_C3L.02897_T	PDC	PDCJHU	tumor
PDCJHU_C3L.01036_T	PDC	PDCJHU	tumor
PDCJHU_C3N.03439_T	PDC	PDCJHU	tumor
PDCJHU_C3L.01037_T	PDC	PDCJHU	tumor
PDCJHU_C3L.00819_T	PDC	PDCJHU	tumor
PDCJHU_C3N.04282_T	PDC	PDCJHU	tumor
PDCJHU_C3N.03086_T	PDC	PDCJHU	tumor
PDCJHU_C3N.00957_T	PDC	PDCJHU	tumor
PDCJHU_C3N.03428_T	PDC	PDCJHU	tumor
PDCJHU_C3L.03635_T	PDC	PDCJHU	tumor
PDCJHU_C3L.00625_T	PDC	PDCJHU	tumor
PDCJHU_C3L.00189_T	PDC	PDCJHU	tumor
PDCJHU_C3N.03061_T	PDC	PDCJHU	tumor
PDCJHU_C3N.03440_T	PDC	PDCJHU	tumor
PDCJHU_C3L.01662_T	PDC	PDCJHU	tumor
PDCJHU_C3N.00303_T	PDC	PDCJHU	tumor
PDCJHU_C3L.01703_T	PDC	PDCJHU	tumor
PDCJHU_C3L.03632_T	PDC	PDCJHU	tumor
PDCJHU_C3N.01383_T	PDC	PDCJHU	tumor
PDCJHU_C3N.02010_T	PDC	PDCJHU	tumor
PDCJHU_C3L.01124_T	PDC	PDCJHU	tumor
PDCJHU_C3N.01382_T	PDC	PDCJHU	tumor
PDCJHU_C3N.00302_T	PDC	PDCJHU	tumor
PDCJHU_C3L.00102_T	PDC	PDCJHU	tumor
PDCJHU_C3L.04080_T	PDC	PDCJHU	tumor
PDCJHU_C3N.00518_T	PDC	PDCJHU	tumor
PDCJHU_C3L.02116_T	PDC	PDCJHU	tumor
PDCJHU_C3N.03665_T	PDC	PDCJHU	tumor
PDCJHU_C3L.04072_T	PDC	PDCJHU	tumor
PDCJHU_C3N.02998_T	PDC	PDCJHU	tumor
PDCJHU_C3N.03840_T	PDC	PDCJHU	tumor
PDCJHU_C3N.00517_T	PDC	PDCJHU	tumor
PDCJHU_C3L.02112_T	PDC	PDCJHU	tumor
PDCJHU_C3L.00598_T	PDC	PDCJHU	tumor
PDCJHU_C3L.00928_T	PDC	PDCJHU	tumor
PDCJHU_C3N.03426_T	PDC	PDCJHU	tumor
PDCJHU_C3N.01714_T	PDC	PDCJHU	tumor
PDCJHU_C3N.03039_T	PDC	PDCJHU	tumor
PDCJHU_C3N.01165_T	PDC	PDCJHU	tumor
PDCJHU_C3N.01502_T	PDC	PDCJHU	tumor
PDCJHU_C3N.01380_T	PDC	PDCJHU	tumor
PDCJHU_C3L.02604_T	PDC	PDCJHU	tumor
PDCJHU_C3N.02585_T	PDC	PDCJHU	tumor
PDCJHU_C3N.04119_T	PDC	PDCJHU	tumor
PDCJHU_C3L.04853_T	PDC	PDCJHU	tumor
PDCJHU_C3N.03007_T	PDC	PDCJHU	tumor
PDCJHU_C3N.04284_T	PDC	PDCJHU	tumor
PDCJHU_C3N.02592_T	PDC	PDCJHU	tumor
PDCJHU_C3N.02944_T	PDC	PDCJHU	tumor
PDCJHU_C3L.00640_T	PDC	PDCJHU	tumor
PDCJHU_C3N.01719_T	PDC	PDCJHU	tumor
PDCJHU_C3L.03639_T	PDC	PDCJHU	tumor
PDCJHU_C3L.00017_T	PDC	PDCJHU	tumor
PDCJHU_C3N.03670_T	PDC	PDCJHU	tumor
PDCJHU_C3L.01328_T	PDC	PDCJHU	tumor
PDCJHU_C3N.00514_T	PDC	PDCJHU	tumor
PDCJHU_C3N.02295_T	PDC	PDCJHU	tumor
PDCJHU_C3N.02573_T	PDC	PDCJHU	tumor
PDCJHU_C3L.01052_T	PDC	PDCJHU	tumor
PDCJHU_C3L.00622_T	PDC	PDCJHU	tumor
PDCJHU_C3N.00709_T	PDC	PDCJHU	tumor
PDCJHU_C3L.04027_T	PDC	PDCJHU	tumor
PDCJHU_C3L.02701_T	PDC	PDCJHU	tumor
PDCJHU_C3L.01053_T	PDC	PDCJHU	tumor
PDCJHU_C3N.03190_T	PDC	PDCJHU	tumor
PDCJHU_C3N.01715_T	PDC	PDCJHU	tumor
PDCJHU_C3L.01031_T	PDC	PDCJHU	tumor
PDCJHU_C3N.01012_T	PDC	PDCJHU	tumor
PDCJHU_C3N.01167_T	PDC	PDCJHU	tumor
PDCJHU_C3N.01011_T	PDC	PDCJHU	tumor
PDCJHU_C3N.03839_T	PDC	PDCJHU	tumor
PDCJHU_C3N.01375_T	PDC	PDCJHU	tumor
PDCJHU_C3N.01381_T	PDC	PDCJHU	tumor
PDCJHU_C3L.00401_T	PDC	PDCJHU	tumor
PDCJHU_C3L.02118_T	PDC	PDCJHU	tumor
PDCJHU_C3N.00511_T	PDC	PDCJHU	tumor
PDCJHU_C3L.02613_T	PDC	PDCJHU	tumor
PDCJHU_C3N.00512_T	PDC	PDCJHU	tumor
PDCJHU_C3L.02899_T	PDC	PDCJHU	tumor
PDCJHU_C3N.03006_T	PDC	PDCJHU	tumor
PDCJHU_C3N.03069_T	PDC	PDCJHU	tumor
PDCKU_PDAC102	PDC	PDCKU	tumor
PDCKU_PDAC025	PDC	PDCKU	tumor
PDCKU_PDAC189	PDC	PDCKU	tumor
PDCKU_PDAC186	PDC	PDCKU	tumor
PDCKU_PDAC158	PDC	PDCKU	tumor
PDCKU_PDAC041	PDC	PDCKU	tumor
PDCKU_PDAC048	PDC	PDCKU	tumor
PDCKU_PDAC113	PDC	PDCKU	tumor
PDCKU_PDAC076	PDC	PDCKU	tumor
PDCKU_PDAC023	PDC	PDCKU	tumor
PDCKU_PDAC132	PDC	PDCKU	tumor
PDCKU_PDAC117	PDC	PDCKU	tumor
PDCKU_PDAC173	PDC	PDCKU	tumor
PDCKU_PDAC024	PDC	PDCKU	tumor
PDCKU_PDAC078	PDC	PDCKU	tumor
PDCKU_PDAC151	PDC	PDCKU	tumor
PDCKU_PDAC016	PDC	PDCKU	tumor
PDCKU_PDAC087	PDC	PDCKU	tumor
PDCKU_PDAC136	PDC	PDCKU	tumor
PDCKU_PDAC045	PDC	PDCKU	tumor
PDCKU_PDAC085	PDC	PDCKU	tumor
PDCKU_PDAC022	PDC	PDCKU	tumor
PDCKU_PDAC107	PDC	PDCKU	tumor
PDCKU_PDAC126	PDC	PDCKU	tumor
PDCKU_PDAC180	PDC	PDCKU	tumor
PDCKU_PDAC124	PDC	PDCKU	tumor
PDCKU_PDAC006	PDC	PDCKU	tumor
PDCKU_PDAC054	PDC	PDCKU	tumor
PDCKU_PDAC030	PDC	PDCKU	tumor
PDCKU_PDAC011	PDC	PDCKU	tumor
PDCKU_PDAC047	PDC	PDCKU	tumor
PDCKU_PDAC097	PDC	PDCKU	tumor
PDCKU_PDAC075	PDC	PDCKU	tumor
PDCKU_PDAC130	PDC	PDCKU	tumor
PDCKU_PDAC178	PDC	PDCKU	tumor
PDCKU_PDAC199	PDC	PDCKU	tumor
PDCKU_PDAC050	PDC	PDCKU	tumor
PDCKU_PDAC044	PDC	PDCKU	tumor
PDCKU_PDAC012	PDC	PDCKU	tumor
PDCKU_PDAC098	PDC	PDCKU	tumor
PDCKU_PDAC192	PDC	PDCKU	tumor
PDCKU_PDAC063	PDC	PDCKU	tumor
PDCKU_PDAC167	PDC	PDCKU	tumor
PDCKU_PDAC007	PDC	PDCKU	tumor
PDCKU_PDAC067	PDC	PDCKU	tumor
