EntrezID,Gene,Ensembl,Genomic Location,Core GESP Score ,Final GESP Score ,Integral monotopic GESP,GPCR,Ion Channel,Kinase,Enzyme,Transporter
196527,ANO6,ENSG00000177119,chr12:45215987-45440404:+,14,19.5,,,1,,,
5796,PTPRK,ENSG00000152894,chr6:127968779-128520674:-,14,19,,,,,1,
3572,IL6ST,ENSG00000134352,chr5:55935095-55994993:-,14,18.5,,,,,,
5098,PCDHGC3,ENSG00000240184,chr5:141475947-141512979:+,14,18.5,,,,,,
58494,JAM2,ENSG00000154721,chr21:25639272-25717562:+,14,18.5,,,,,,
113235,SLC46A1,ENSG00000076351,chr17:28394756-28407197:-,14,18.5,,,,,,1
3575,IL7R,ENSG00000168685,chr5:35852695-35879603:+,14,17.5,,,,,,
9332,CD163,ENSG00000177575,chr12:7470813-7503893:-,14,17.5,,,,,,
4685,NCAM2,ENSG00000154654,chr21:20998315-21543329:+,14,17.5,,,,,,
53616,ADAM22,ENSG00000008277,chr7:87934143-88202889:+,14,17.5,,,,,1,
5097,PCDH1,ENSG00000156453,chr5:141853111-141879246:-,14,17,,,,,,
4973,OLR1,ENSG00000173391,chr12:10158301-10172138:-,14,16.5,,,,,,
84189,SLITRK6,ENSG00000184564,chr13:85792790-85799488:-,14,16.5,,,,,,
22871,NLGN1,ENSG00000169760,chr3:173396284-174286644:+,14,16.5,,,,,1,
10149,ADGRG2,ENSG00000173698,chrX:18989309-19122637:-,14,16,,1,,,,
2204,FCAR,ENSG00000186431,chr19:54874248-54890472:+,14,15.5,,,,,,
976,ADGRE5,ENSG00000123146,chr19:14380501-14408725:+,13,22,,1,,,,
3690,ITGB3,ENSG00000259207,chr17:47253846-47311816:+,13,21.5,,,,,,
4162,MCAM,ENSG00000076706,chr11:119308529-119321521:-,13,21.5,,,,,,
3383,ICAM1,ENSG00000090339,chr19:10270835-10286615:+,13,21.5,,,,,,
682,BSG,ENSG00000172270,chr19:571277-583493:+,13,21.5,,,,,,
50848,F11R,ENSG00000158769,chr1:160995211-161021348:-,13,21.5,,,,,,
23266,ADGRL2,ENSG00000117114,chr1:81306160-81992436:+,13,21,,1,,,,
3480,IGF1R,ENSG00000140443,chr15:98648971-98964530:+,13,20.5,,,,1,,
1969,EPHA2,ENSG00000142627,chr1:16124337-16156087:-,13,20.5,,,,1,,
3643,INSR,ENSG00000171105,chr19:7112255-7294034:-,13,20.5,,,,1,,
10507,SEMA4D,ENSG00000187764,chr9:89360787-89498130:-,13,20.5,,,,,,
684,BST2,ENSG00000130303,chr19:17402939-17405648:-,13,20.5,,,,,,
80727,TTYH3,ENSG00000136295,chr7:2631951-2664802:+,13,20.5,,,1,,,
961,CD47,ENSG00000196776,chr3:108043298-108091025:-,13,20.5,,,,,,
6272,SORT1,ENSG00000134243,chr1:109309568-109397951:-,13,20.5,,,,,,
4363,ABCC1,ENSG00000103222,chr16:15949577-16143074:+,13,19.5,,,,,,1
25800,SLC39A6,ENSG00000141424,chr18:36108532-36129385:-,13,19.5,,,,,,1
7070,THY1,ENSG00000154096,chr11:119417378-119424985:-,13,19.5,,,,,,
5167,ENPP1,ENSG00000197594,chr6:131808016-131895155:+,13,19.5,,,,,1,
1948,EFNB2,ENSG00000125266,chr13:106489731-106535114:-,13,19.5,,,,,,
65010,SLC26A6,ENSG00000225697,chr3:48625723-48635493:-,13,19.5,,,1,,,
11120,BTN2A1,ENSG00000112763,chr6:26457904-26476621:+,13,19.5,,,,,,
2260,FGFR1,ENSG00000077782,chr8:38411138-38468834:-,13,19,,,,1,,
9620,CELSR1,ENSG00000075275,chr22:46360834-46537170:-,13,19,,1,,,,
6091,ROBO1,ENSG00000169855,chr3:78597240-79767815:-,13,19,,,,,,
5159,PDGFRB,ENSG00000113721,chr5:150113837-150155872:-,13,18.5,,,,1,,
952,CD38,ENSG00000004468,chr4:15778275-15853230:+,13,18.5,,,,,1,
1004,CDH6,ENSG00000113361,chr5:31193750-31329146:+,13,18.5,,,,,,
3676,ITGA4,ENSG00000115232,chr2:181457202-181536187:+,13,18.5,,,,,,
1438,CSF2RA,ENSG00000198223,chrX:1268800-1310381:+,13,18.5,,,,,,
1464,CSPG4,ENSG00000173546,chr15:75674322-75712848:-,13,18.5,,,,,,
23545,ATP6V0A2,ENSG00000185344,chr12:123712318-123761755:+,13,18.5,,,,,1,
6786,STIM1,ENSG00000167323,chr11:3854527-4093210:+,13,18.5,,,,,,
3903,LAIR1,ENSG00000167613,chr19:54351384-54370558:-,13,18.5,,,,,,
51393,TRPV2,ENSG00000187688,chr17:16415542-16437003:+,13,18.5,,,1,,,
131566,DCBLD2,ENSG00000057019,chr3:98795941-98901689:-,13,18.5,,,,,,
56241,SUSD2,ENSG00000099994,chr22:24181259-24189110:+,13,18.5,,,,,,
5797,PTPRM,ENSG00000173482,chr18:7566782-8406861:+,13,18.5,,,,,1,
23308,ICOSLG,ENSG00000160223,chr21:44222991-44240966:-,13,18.5,,,,,,
154,ADRB2,ENSG00000169252,chr5:148825245-148828687:+,13,18,,1,,,,
5364,PLXNB1,ENSG00000164050,chr3:48403854-48430051:-,13,18,,,,,,
9052,GPRC5A,ENSG00000013588,chr12:12890782-12917937:+,13,18,,1,,,,
5099,PCDH7,ENSG00000169851,chr4:30720415-31146805:+,13,18,,,,,,
8611,PPAP2A,ENSG00000067113,chr5:55424854-55535050:-,13,18,,,,,1,
29126,CD274,ENSG00000120217,chr9:5450503-5470566:+,13,17.5,,,,,,
6573,SLC19A1,ENSG00000173638,chr21:45493572-45544411:-,13,17.5,,,,,,1
7412,VCAM1,ENSG00000162692,chr1:100719742-100739045:+,13,17.5,,,,,,
1012,CDH13,ENSG00000140945,chr16:82626803-83800640:+,13,17.5,,,,,,
5027,P2RX7,ENSG00000089041,chr12:121132819-121188032:+,13,17.5,,,1,,,
962,CD48,ENSG00000117091,chr1:160678746-160711851:-,13,17.5,,,,,,
659,BMPR2,ENSG00000204217,chr2:202376936-202567751:+,13,17.5,,,,1,,
5818,PVRL1,ENSG00000110400,chr11:119623408-119729084:-,13,17.5,,,,,,
57502,NLGN4X,ENSG00000146938,chrX:5840637-6228863:-,13,17.5,,,,,1,
185,AGTR1,ENSG00000144891,chr3:148697784-148743008:+,13,17,,1,,,,
134,ADORA1,ENSG00000163485,chr1:203090654-203167405:+,13,17,,1,,,,
57007,ACKR3,ENSG00000144476,chr2:236567787-236582358:+,13,17,,1,,,,
10203,CALCRL,ENSG00000064989,chr2:187343129-187448460:-,13,17,,1,,,,
974,CD79B,ENSG00000007312,chr17:63928740-63932354:-,13,16.5,,,,,,
7099,TLR4,ENSG00000136869,chr9:117704332-117716871:+,13,16.5,,,,,,
4915,NTRK2,ENSG00000148053,chr9:84668551-85027070:+,13,16.5,,,,1,,
1001,CDH3,ENSG00000062038,chr16:68636189-68722616:+,13,16.5,,,,,,
4914,NTRK1,ENSG00000198400,chr1:156815640-156881850:+,13,16.5,,,,1,,
2348,FOLR1,ENSG00000110195,chr11:72189558-72196301:+,13,16.5,,,,,,
10461,MERTK,ENSG00000153208,chr2:111898479-112029561:+,13,16.5,,,,1,,
27242,TNFRSF21,ENSG00000146072,chr6:47231532-47309905:-,13,16.5,,,,,,
2047,EPHB1,ENSG00000154928,chr3:134597801-135260467:+,13,16.5,,,,1,,
9445,ITM2B,ENSG00000136156,chr13:48233158-48270357:+,13,16.5,,,,,,
3455,IFNAR2,ENSG00000159110,chr21:33229901-33265675:+,13,16.5,,,,,,
10384,BTN3A3,ENSG00000111801,chr6:26440472-26453415:+,13,16.5,,,,,,
5156,PDGFRA,ENSG00000134853,chr4:54229097-54298247:+,13,15.5,,,,1,,
3977,LIFR,ENSG00000113594,chr5:38474963-38608354:-,13,15.5,,,,,,
80328,ULBP2,ENSG00000131015,chr6:149942000-149949235:+,13,15.5,,,,,,
7096,TLR1,ENSG00000174125,chr4:38790677-38856817:-,13,15.5,,,,,,
1015,CDH17,ENSG00000079112,chr8:94127171-94217303:-,13,15.5,,,,,,
3696,ITGB8,ENSG00000105855,chr7:20330702-20415754:+,13,15.5,,,,,,
57211,ADGRG6,ENSG00000112414,chr6:142301854-142446266:+,13,15.5,,1,,,,
84168,ANTXR1,ENSG00000169604,chr2:69013178-69249327:+,13,15.5,,,,,,
6443,SGCB,ENSG00000163069,chr4:52020706-52038482:-,13,15.5,,,,,,
23166,STAB1,ENSG00000010327,chr3:52495338-52524495:+,13,15.5,,,,,,
2321,FLT1,ENSG00000102755,chr13:28300344-28495128:-,13,15,,,,1,,
7253,TSHR,ENSG00000165409,chr14:80954989-81146302:+,13,15,,1,,,,
8639,AOC3,ENSG00000131471,chr17:42851184-42858130:+,13,15,,,,,1,
912,CD1D,ENSG00000158473,chr1:158179947-158184896:+,13,14.5,,,,,,
1800,DPEP1,ENSG00000015413,chr16:89613308-89638456:+,13,14.5,,,,,1,
482,ATP1B2,ENSG00000129244,chr17:7646627-7657768:+,13,14.5,,,,,,1
11149,BVES,ENSG00000112276,chr6:105096822-105137174:-,13,14.5,,,,,,
23385,NCSTN,ENSG00000162736,chr1:160343272-160358952:+,12,21.5,,,,,,
214,ALCAM,ENSG00000170017,chr3:105366909-105576900:+,12,20.5,,,,,,
1889,ECE1,ENSG00000117298,chr1:21217247-21345504:-,12,20.5,,,,,1,
9019,MPZL1,ENSG00000197965,chr1:167721192-167791919:+,12,20.5,,,,,,
9497,SLC4A7,ENSG00000033867,chr3:27372721-27484420:-,12,20.5,,,,,,1
1605,DAG1,ENSG00000173402,chr3:49468703-49535618:+,12,20.5,,,,,1,
3556,IL1RAP,ENSG00000196083,chr3:190514051-190659750:+,12,20,,,,,,
23654,PLXNB2,ENSG00000196576,chr22:50274979-50307627:-,12,20,,,,,,
8140,SLC7A5,ENSG00000103257,chr16:87830023-87869488:-,12,19.5,,,,,,1
3675,ITGA3,ENSG00000005884,chr17:50055968-50090481:+,12,19.5,,,,,,
4035,LRP1,ENSG00000123384,chr12:57128493-57213351:+,12,19.5,,,,,,
481,ATP1B1,ENSG00000143153,chr1:169105697-169132722:+,12,19.5,,,,,,1
57181,SLC39A10,ENSG00000196950,chr2:195575977-195737702:+,12,19.5,,,,,,1
5795,PTPRJ,ENSG00000149177,chr11:47980558-48170841:+,12,19.5,,,,,1,
27020,NPTN,ENSG00000156642,chr15:73560014-73634134:-,12,19.5,,,,,,
8482,SEMA7A,ENSG00000138623,chr15:74409289-74434467:-,12,19,,,,,,
2048,EPHB2,ENSG00000133216,chr1:22710839-22921500:+,12,18.5,,,,1,,
4853,NOTCH2,ENSG00000134250,chr1:119911553-120069626:-,12,18.5,,,,,,
8829,NRP1,ENSG00000099250,chr10:33177492-33336262:-,12,18.5,,,,,,
1803,DPP4,ENSG00000197635,chr2:161992241-162074542:-,12,18.5,,,,,1,
5311,PKD2,ENSG00000118762,chr4:88007668-88077777:+,12,18.5,,,1,,,
8828,NRP2,ENSG00000118257,chr2:205681990-205798133:+,12,18.5,,,,,,
83700,JAM3,ENSG00000166086,chr11:134068925-134152001:+,12,18.5,,,,,,
5175,PECAM1,ENSG00000261371,chr17:64319415-64413776:-,12,18.5,,,,,,
5361,PLXNA1,ENSG00000114554,chr3:126988594-127037392:+,12,18.5,,,,,,
10326,SIRPB1,ENSG00000101307,chr20:1563521-1620061:-,12,18.5,,,,,,
57153,SLC44A2,ENSG00000129353,chr19:10602457-10644559:+,12,18.5,,,,,,1
5788,PTPRC,ENSG00000081237,chr1:198638671-198757283:+,12,18,,,,,1,
1901,S1PR1,ENSG00000170989,chr1:101236888-101241518:+,12,18,,1,,,,
6915,TBXA2R,ENSG00000006638,chr19:3594506-3606840:-,12,18,,1,,,,
9289,ADGRG1,ENSG00000205336,chr16:57610652-57665580:+,12,18,,1,,,,
4311,MME,ENSG00000196549,chr3:155024124-155183729:+,12,17.5,,,,,1,
7097,TLR2,ENSG00000137462,chr4:153701500-153705699:+,12,17.5,,,,,,
4921,DDR2,ENSG00000162733,chr1:162631373-162787400:+,12,17.5,,,,1,,
6653,SORL1,ENSG00000137642,chr11:121452203-121633693:+,12,17.5,,,,,,
1525,CXADR,ENSG00000154639,chr21:17512382-17593579:+,12,17.5,,,,,,
3683,ITGAL,ENSG00000005844,chr16:30472658-30523185:+,12,17.5,,,,,,
1536,CYBB,ENSG00000165168,chrX:37780011-37813461:+,12,17.5,,,1,,,
55243,KIRREL,ENSG00000183853,chr1:157993273-158100262:+,12,17.5,,,,,,
2030,SLC29A1,ENSG00000112759,chr6:44219505-44234151:+,12,17.5,,,,,,1
3679,ITGA7,ENSG00000135424,chr12:55684568-55716043:-,12,17.5,,,,,,
23765,IL17RA,ENSG00000177663,chr22:17084954-17115694:+,12,17.5,,,,,,
23129,PLXND1,ENSG00000004399,chr3:129555175-129606818:-,12,17.5,,,,,,
8322,FZD4,ENSG00000174804,chr11:86945679-86955391:-,12,17,,1,,,,
2687,GGT5,ENSG00000099998,chr22:24219654-24245142:-,12,17,,,,,1,
2195,FAT1,ENSG00000083857,chr4:186587783-186726722:-,12,16.5,,,,,,
948,CD36,ENSG00000135218,chr7:80369575-80679277:+,12,16.5,,,,,,
6402,SELL,ENSG00000188404,chr1:169690667-169711698:-,12,16.5,,,,,,
1636,ACE,ENSG00000159640,chr17:63477061-63498380:+,12,16.5,,,,,1,
3757,KCNH2,ENSG00000055118,chr7:150944961-150978315:-,12,16.5,,,1,,,
3684,ITGAM,ENSG00000169896,chr16:31259990-31332892:+,12,16.5,,,,,,
943,TNFRSF8,ENSG00000120949,chr1:12063377-12144207:+,12,16.5,,,,,,
7225,TRPC6,ENSG00000137672,chr11:101451564-101872562:-,12,16.5,,,1,,,
4360,MRC1,ENSG00000260314,chr10:17809344-17911170:+,12,16.5,,,,,,
79689,STEAP4,ENSG00000127954,chr7:88270892-88306891:-,12,16.5,,,,,1,
4897,NRCAM,ENSG00000091129,chr7:108147623-108456717:-,12,16.5,,,,,,
286530,P2RY8,ENSG00000182162,chrX:1462572-1537107:-,12,16.5,,1,,,,
4045,LSAMP,ENSG00000185565,chr3:115802363-117139389:-,12,16.5,,,,,,
23114,NFASC,ENSG00000163531,chr1:204828651-205022822:+,12,16.5,,,,,,
3454,IFNAR1,ENSG00000142166,chr21:33324477-33359862:+,12,16.5,,,,,,
3177,SLC29A2,ENSG00000174669,chr11:66362521-66372214:-,12,16.5,,,,,,1
7106,TSPAN4,ENSG00000214063,chr11:842808-867116:+,12,16.5,,,,,,
4064,CD180,ENSG00000134061,chr5:67179613-67196799:-,12,16.5,,,,,,
5025,P2RX4,ENSG00000135124,chr12:121209857-121234106:+,12,16.5,,,1,,,
25945,PVRL3,ENSG00000177707,chr3:111070071-111275563:+,12,16.5,,,,,,
2150,F2RL1,ENSG00000164251,chr5:76818933-76835315:+,12,16,,1,,,,
3561,IL2RG,ENSG00000147168,chrX:71107404-71112108:-,12,15.5,,,,,,
945,CD33,ENSG00000105383,chr19:51225064-51243860:+,12,15.5,,,,,,
51744,CD244,ENSG00000122223,chr1:160830160-160862855:-,12,15.5,,,,,,
939,CD27,ENSG00000139193,chr12:6444867-6451718:+,12,15.5,,,,,,
1824,DSC2,ENSG00000134755,chr18:31058840-31102415:-,12,15.5,,,,,,
4070,TACSTD2,ENSG00000184292,chr1:58575423-58577773:-,12,15.5,,,,,,
634,CEACAM1,ENSG00000079385,chr19:42507304-42561234:-,12,15.5,,,,,,
8764,TNFRSF14,ENSG00000157873,chr1:2555639-2565382:+,12,15.5,,,,,,
4920,ROR2,ENSG00000169071,chr9:91563091-91950162:-,12,15.5,,,,1,,
931,MS4A1,ENSG00000156738,chr11:60455752-60470760:+,12,15.5,,,,,,
3694,ITGB6,ENSG00000115221,chr2:160099666-160271888:-,12,15.5,,,,,,
114836,SLAMF6,ENSG00000162739,chr1:160485030-160523262:-,12,15.5,,,,,,
4063,LY9,ENSG00000122224,chr1:160796074-160828261:+,12,15.5,,,,,,
131450,CD200R1,ENSG00000163606,chr3:112921209-112975122:-,12,15.5,,,,,,
28231,SLCO4A1,ENSG00000101187,chr20:62642445-62685785:+,12,15.5,,,,,,1
3695,ITGB7,ENSG00000139626,chr12:53191318-53207307:-,12,15.5,,,,,,
91584,PLXNA4,ENSG00000221866,chr7:132123332-132648688:-,12,15.5,,,,,,
89790,SIGLEC10,ENSG00000142512,chr19:51410021-51417803:-,12,15.5,,,,,,
25921,ZDHHC5,ENSG00000156599,chr11:57667747-57701187:+,12,15.5,,,,,1,
56928,SPPL2B,ENSG00000005206,chr19:2328615-2354806:+,12,15.5,,,,,1,
2191,FAP,ENSG00000078098,chr2:162170684-162245151:-,12,15,,,,,1,
116535,MRGPRF,ENSG00000172935,chr11:69004395-69013409:-,12,15,,1,,,,
2891,GRIA2,ENSG00000120251,chr4:157204182-157366075:+,12,15,,,1,,,
55558,PLXNA3,ENSG00000130827,chrX:154458281-154477779:+,12,15,,,,,,
80031,SEMA6D,ENSG00000137872,chr15:47184101-47774223:+,12,15,,,,,,
2676,GFRA3,ENSG00000146013,chr5:138252379-138274671:-,12,15,,,,,,
3791,KDR,ENSG00000128052,chr4:55078477-55125589:-,12,14.5,,,,1,,
911,CD1C,ENSG00000158481,chr1:158289786-158293630:+,12,14.5,,,,,,
8038,ADAM12,ENSG00000148848,chr10:126012381-126388455:-,12,14.5,,,,,1,
968,CD68,ENSG00000129226,chr17:7579467-7582113:+,12,14.5,,,,,,
6403,SELP,ENSG00000174175,chr1:169588849-169630193:-,12,14.5,,,,,,
3953,LEPR,ENSG00000116678,chr1:65420652-65641559:+,12,14.5,,,,,,
92737,DNER,ENSG00000187957,chr2:229357629-229714558:-,12,14.5,,,,,,
7850,IL1R2,ENSG00000115590,chr2:101991844-102028544:+,12,14.5,,,,,,
3560,IL2RB,ENSG00000100385,chr22:37125838-37175054:-,12,14.5,,,,,,
333,APLP1,ENSG00000105290,chr19:35867899-35879791:+,12,14.5,,,,,,
1003,CDH5,ENSG00000179776,chr16:66366622-66404786:+,12,14.5,,,,,,
4254,KITLG,ENSG00000049130,chr12:88492793-88580851:-,12,14.5,,,,,,
1436,CSF1R,ENSG00000182578,chr5:150053291-150113372:-,12,14.5,,,,1,,
3680,ITGA9,ENSG00000144668,chr3:37452115-37823514:+,12,14.5,,,,,,
27253,PCDH17,ENSG00000118946,chr13:57631810-57729311:+,12,14.5,,,,,,
8641,PCDHGB4,ENSG00000253953,chr5:141387698-141512979:+,12,14.5,,,,,,
2846,LPAR4,ENSG00000147145,chrX:78747709-78757094:+,12,14,,1,,,,
250,ALPP,ENSG00000163283,chr2:232378534-232382889:+,12,13.5,,,,,1,
6517,SLC2A4,ENSG00000181856,chr17:7281667-7288257:+,12,13.5,,,,,,1
2214,FCGR3A,ENSG00000203747,chr1:161541759-161550737:-,12,13.5,,,,,,
4585,MUC4,ENSG00000145113,chr3:195746765-195812277:-,12,13.5,,,,,,
910,CD1B,ENSG00000158485,chr1:158327951-158331531:-,12,13.5,,,,,,
93,ACVR2B,ENSG00000114739,chr3:38453851-38493142:+,12,13.5,,,,1,,
2028,ENPEP,ENSG00000138792,chr4:110365733-110565285:+,12,13.5,,,,,1,
4036,LRP2,ENSG00000081479,chr2:169127109-169362685:-,12,13.5,,,,,,
23601,CLEC5A,ENSG00000258227,chr7:141927357-141947007:-,12,13.5,,,,,,
353189,SLCO4C1,ENSG00000173930,chr5:102233986-102296549:-,12,13.5,,,,,,1
25849,PARM1,ENSG00000169116,chr4:74933095-75050115:+,12,13.5,,,,,,
114815,SORCS1,ENSG00000108018,chr10:106573663-107164534:-,12,13.5,,,,,,
389816,LRRC26,ENSG00000184709,chr9:137168758-137170051:-,12,13.5,,,1,,,
150696,PROM2,ENSG00000155066,chr2:95274453-95291308:+,12,13.5,,,,,,
56097,PCDHGC5,ENSG00000240764,chr5:141489121-141512979:+,12,13.5,,,,,,
26025,PCDHGA12,ENSG00000253159,chr5:141430589-141512979:+,12,13.5,,,,,,
56099,PCDHGB7,ENSG00000254122,chr5:141417645-141512979:+,12,13.5,,,,,,
56101,PCDHGB5,ENSG00000276547,chr5:141397987-141512979:+,12,13.5,,,,,,
3811,KIR3DL1,ENSG00000167633,chr19:54724497-54867215:+,12,13.5,,,,,,
56104,PCDHGB1,ENSG00000254221,chr5:141350102-141512979:+,12,13.5,,,,,,
56107,PCDHGA9,ENSG00000261934,chr5:141402932-141512979:+,12,13.5,,,,,,
9708,PCDHGA8,ENSG00000253767,chr5:141390157-141512979:+,12,13.5,,,,,,
5621,PRNP,ENSG00000171867,chr20:4686236-4701590:+,11,20.5,,,,,,
3685,ITGAV,ENSG00000138448,chr2:186590065-186680901:+,11,19.5,,,,,,
4012,LNPEP,ENSG00000113441,chr5:96935394-97037515:+,11,19.5,,,,,1,
6856,SYPL1,ENSG00000008282,chr7:106090503-106112576:-,11,19.5,,,,,,
3949,LDLR,ENSG00000130164,chr19:11089362-11133816:+,11,19,,,,,,
4851,NOTCH1,ENSG00000148400,chr9:136494444-136545862:-,11,19,,,,,,
3105,HLA-A,ENSG00000206503,chr6:29941260-29945884:+,11,18.5,,,,,,
6541,SLC7A1,ENSG00000139514,chr13:29509410-29595688:-,11,18.5,,,,,,1
949,SCARB1,ENSG00000073060,chr12:124776856-124882668:-,11,18.5,,,,,,
2022,ENG,ENSG00000106991,chr9:127815012-127854756:-,11,18.5,,,,,,
966,CD59,ENSG00000085063,chr11:33698261-33736445:-,11,18.5,,,,,,
3673,ITGA2,ENSG00000164171,chr5:52989326-53094779:+,11,18.5,,,,,,
3655,ITGA6,ENSG00000091409,chr2:172427354-172506282:+,11,18.5,,,,,,
3672,ITGA1,ENSG00000213949,chr5:52787896-52959210:+,11,18.5,,,,,,
7162,TPBG,ENSG00000146242,chr6:82363206-82370828:+,11,18.5,,,,,,
26504,CNNM4,ENSG00000158158,chr2:96760902-96811891:+,11,18.5,,,,,,
55754,TMEM30A,ENSG00000112697,chr6:75252924-75284968:-,11,18.5,,,,,,
970,CD70,ENSG00000125726,chr19:6583183-6604103:-,11,17.5,,,,,,
5329,PLAUR,ENSG00000011422,chr19:43646095-43670547:-,11,17.5,,,,,1,
3107,HLA-C,ENSG00000204525,chr6:31268749-31357158:-,11,17.5,,,,,,
80381,CD276,ENSG00000103855,chr15:73683966-73714518:+,11,17.5,,,,,,
334,APLP2,ENSG00000084234,chr11:130069837-130144811:+,11,17.5,,,,,,
6558,SLC12A2,ENSG00000064651,chr5:128083766-128189688:+,11,17.5,,,,,,1
2049,EPHB3,ENSG00000182580,chr3:184561784-184582409:+,11,17.5,,,,1,,
79651,RHBDF2,ENSG00000129667,chr17:76470891-76501790:-,11,17.5,,,,,1,
140885,SIRPA,ENSG00000198053,chr20:1894167-1940592:+,11,17.5,,,,,1,
221061,FAM171A1,ENSG00000148468,chr10:15211643-15371062:-,11,17.5,,,,,,
57493,HEG1,ENSG00000173706,chr3:124965710-125055958:-,11,17.5,,,,,,
8455,ATRN,ENSG00000088812,chr20:3471040-3651122:+,11,17.5,,,,,,
2149,F2R,ENSG00000181104,chr5:76716043-76735781:+,11,17,,1,,,,
30817,ADGRE2,ENSG00000127507,chr19:14732393-14778541:-,11,17,,1,,,,
182,JAG1,ENSG00000101384,chr20:10637684-10674107:-,11,16.5,,,,,,
3384,ICAM2,ENSG00000108622,chr17:64002594-64020634:-,11,16.5,,,,,,
2678,GGT1,ENSG00000100031,chr22:24583750-24629005:+,11,16.5,,,,,1,
2050,EPHB4,ENSG00000196411,chr7:100802565-100827521:-,11,16.5,,,,1,,
133418,EMB,ENSG00000170571,chr5:50396192-50443248:-,11,16.5,,,,,,
