UNIPROT	Entrez	symbol	GBM_GTEX.Y8DK.0011.R10A.SM.HAKY1	GBM_GTEX.UTHO.0011.R10A.SM.HAKY2	GBM_GTEX.R55F.0011.R10A.SM.HAKXY	GBM_GTEX.QVJO.0011.R10A.SM.HAKXV	GBM_GTEX.P44H.0011.R10A.SM.HAKXX	GBM_GTEX.RU72.0011.R10A.SM.HAKXS	GBM_GTEX.RN5K.0011.R10A.SM.HAKXU	GBM_GTEX.WVLH.0011.R10A.SM.HAKXZ	GBM_GTEX.Q2AG.0011.R10A.SM.HAKXT	GBM_GTEX.NPJ7.0011.R10A.SM.HAKXW
A1L157	441631	TSPAN11	-0.854986498	NA	0.061666294	-0.081255836	-0.451594175	NA	-0.44406097	NA	-0.555194765	-0.172946778
A1L170	400793	C1orf226	-0.711411044	-0.17977201	-0.893113431	-0.411921859	-0.3129229	-0.139369281	-1.056452366	-0.818368383	-0.046145713	-1.027071655
A1L188	284184	NDUFAF8	0.878600119	0.760562114	0.777824641	0.592245227	0.637555513	0.451970584	0.619129632	0.681840825	0.939319187	0.70126332
A1L390	26030	PLEKHG3	0.26831856	0.499736635	0.301502042	0.318981769	0.420701427	0.374655323	0.551499727	0.293386439	-0.048086077	0.255664429
A1L4H1	284297	SSC5D	0.825778123	0.115975947	0.285705096	0.657265302	NA	0.294910482	-1.081141309	-0.21710298	0.589371802	0.517021757
A1X283	285590	SH3PXD2B	-1.346449374	-0.995745146	-1.060742634	-1.004749813	-0.921683323	-0.805687439	-0.957020528	-0.891580416	-0.830143473	-1.10435338
A1XBS5	137392	CIBAR1	0.268939256	NA	0.274164303	0.403994495	0.386761804	0.320121208	0.247374169	0.33131797	0.519260713	0.642845287
A1Z1Q3	140733	MACROD2	0.898131069	0.774052563	0.849392683	0.69591492	0.814876476	0.79468441	0.808772324	0.7182257	0.607199401	0.669848775
A2A2Y4	257019	FRMD3	-0.033591715	0.179491013	-0.103421531	0.234743447	0.031521002	0.105882862	0.550052065	0.533187337	0.287922876	-0.060510951
A2A3K4	138639	PTPDC1	0.606425747	0.65696088	0.550157826	0.561277722	0.787316273	0.543798316	0.63002134	0.441556937	0.775083328	0.690782542
A2AJT9	256643	BCLAF3	-0.283497307	-0.551519118	-0.759200255	-0.359005967	-0.879670334	-0.990383175	-0.770453491	-0.485919465	-0.49523442	-0.092720598
A2RRP1	51594	NBAS	0.038400628	-0.051795538	-0.046521578	0.063582947	0.006951404	0.000123969	-0.070390388	-0.03899052	0.08331008	-0.001656029
A2RTX5	123283	TARS3	0.282962302	0.290531369	0.264305053	0.258412053	0.262292426	0.281627398	0.374472504	0.245278688	0.200587926	0.15407648
A2RU30	9840	TESPA1	2.038276575	2.306732465	1.143751865	2.144443171	1.077026471	0.994910283	1.469622072	0.438815128	1.469528631	NA
A2RU67	57613	FAM234B	0.806457472	0.864792605	0.918714793	0.709097971	0.695034462	0.725802636	0.585804586	0.627269125	0.649185979	0.520157135
A2RUC4	129450	TYW5	0.092223486	0.137493556	0.047248823	0.121073719	0.05598401	0.288753041	0.151297295	0.107648183	0.052258593	0.078683228
A2RUS2	22898	DENND3	-0.388937856	-0.248704191	-0.282665948	-0.422785845	-0.4084228	-0.923998068	-0.260450841	-0.709448582	-0.595906047	-0.914930321
A3KMH1	23078	VWA8	0.455898116	0.339061647	0.458818989	0.353500662	0.330093689	0.166005666	0.331153848	0.352583735	0.411017133	0.385914702
A3KN83	55206	SBNO1	0.09521519	0.038555327	0.153785225	-0.032398732	-0.261428276	-0.024233748	0.204176251	0.026485992	0.057266006	0.09165434
A4D0V7	NA	NA	NA	-2.570888622	-2.01663703	-0.870631664	-0.926471863	NA	-2.118343405	NA	-0.817752552	-0.407967436
A4D126	729920	CRPPA	0.417380616	0.485085428	0.361137201	0.363710821	0.024619396	0.317859517	0.430936303	0.404785758	0.304879032	0.461727
A4D161	340277	FAM221A	0.412089479	0.437743453	0.155906966	0.342736443	0.46879778	0.61961284	0.462163022	0.108387382	0.1487865	-0.189202056
A4D1E9	85865	GTPBP10	0.368527971	0.43210663	0.41686456	0.26614219	0.325364491	0.385908912	0.060921596	0.394470314	0.275593235	0.139646158
A4D1P6	29062	WDR91	-0.022249328	0.095136357	0.088487662	-0.028202612	0.150104486	-0.020695834	-0.072412985	0.020455748	0.013475962	0.032890634
A4D1U4	57189	DENND11	0.253864194	0.354460239	0.273099929	0.192939227	0.30258152	0.405135112	0.273214985	0.289282074	0.070844214	0.365537535
A4D2B0	255374	MBLAC1	0.461026211	0.397215084	0.454587889	0.412902061	0.483757347	0.580401625	0.178150395	0.593915744	0.555278456	0.597311498
A4FU01	10903	MTMR11	-0.605749879	-0.387666082	-0.125701053	0.151467632	-0.374713503	0.161356938	-0.493568302	-0.281016861	-0.414905324	0.249525961
A4UGR9	129446	XIRP2	0.216703487	NA	0.539010862	NA	1.365388247	-0.319875611	0.130243705	-0.307938268	NA	0.774658603
A5A3E0	728378	POTEF	0.544644585	0.116422054	NA	NA	-1.240070076	0.282312872	-0.972562144	0.194810193	1.141916016	NA
A5D8V6	55048	VPS37C	0.060764844	0.192801683	0.376694949	0.371978621	0.16996195	0.242768128	0.251364833	0.236326	0.528867167	0.375802989
A5PKW4	5662	PSD	1.17950733	1.34765469	1.154803604	1.228508224	1.491762163	1.197812817	1.429448148	1.515751423	1.385503863	1.459257007
A5PLK6	353299	RGSL1	-0.187286958	-0.017272891	0.128770157	-0.547235279	0.099817527	0.259585387	0.472832348	-0.304802422	NA	NA
A5PLL7	387521	PEDS1	0.074513953	NA	-0.433117591	0.009716962	-0.230214273	-0.155727813	0.122186004	0.20129045	-0.326082197	-0.032072548
A5PLN9	80006	TRAPPC13	0.215331598	0.278438565	0.299799893	0.153464416	0.21745612	0.256206143	0.288199976	0.208807368	0.227645792	0.114362919
A5YKK6	23019	CNOT1	-0.124353248	-0.055190731	-0.000488439	-0.045208049	-0.162622073	-0.088532334	-0.063754978	-0.060155519	-0.078789159	-0.090689923
A5YM72	57571	CARNS1	0.697150565	1.249541684	0.963902947	0.50867184	0.386434213	1.210672106	2.392854718	0.533886258	0.455613833	0.333471046
A6H8Y1	55814	BDP1	NA	-0.423904634	0.724290331	NA	-0.805176788	0.278463891	-0.156173833	-0.244319983	0.03987349	NA
A6NC98	283234	CCDC88B	-0.000420534	-0.338426397	-0.240225282	-0.127917499	0.082159032	0.143572914	0.460681733	-0.21036221	-0.802278625	-0.020028314
A6NCS6	257407	C2orf72	-0.314218217	-0.207568053	0.060904267	-0.114380095	-0.010207417	-0.199280861	0.144091566	-0.402073157	-0.061231064	0.018931651
A6NDB9	342979	PALM3	0.540168805	0.572946335	0.498305425	1.077749119	0.531329446	0.570570312	0.742427232	0.535099298	0.496736079	0.730574811
A6NDG6	283871	PGP	0.393100005	0.541173528	0.483033407	0.560322075	0.432145578	0.585237801	0.635812612	0.492647087	0.472497488	0.520589575
A6NDU8	285636	RIMOC1	0.007512378	-0.167912478	0.004065987	-0.052639411	0.039989449	-0.173692111	-0.03475152	-0.149990928	-0.034904676	-0.041120461
A6NE02	388419	BTBD17	0.014293749	0.313828009	0.053270325	0.630886467	0.049116363	-0.04202616	-0.227785583	0.113427869	0.419718123	0.116522825
A6NED2	91433	RCCD1	0.13538326	0.22037937	0.213877856	0.216755214	0.064135015	0.156443223	0.169545141	0.1888595	0.165580103	0.319883476
A6NEE1	400224	PLEKHD1	-0.001807985	NA	-0.108045949	-0.370372015	-0.308535528	-0.552441201	-0.057369806	NA	NA	-0.251525645
A6NEL2	345079	SOWAHB	0.973194789	1.096370093	1.213897456	NA	2.089224199	1.155568879	1.665906714	1.270977606	3.166026026	3.039617075
A6NFI3	100131017	ZNF316	-0.106950114	-0.017136786	-0.013111191	-0.127795679	-0.152030567	-0.041059797	-0.180992865	-0.284115315	-0.201759059	-0.256087281
A6NFN3	146713	RBFOX3	1.642061838	0.745849451	1.358143859	0.425356341	0.562823378	1.283783888	1.044068125	0.398397267	0.450403484	NA
A6NFQ2	285966	TCAF2	-1.078688127	-0.743958853	-0.075866208	-0.583964331	-1.544912671	-1.019216131	-0.530400986	-0.945287924	-0.899913763	-0.407294577
A6NFY7	644096	SDHAF1	0.665121412	0.929401023	0.712101437	0.512860396	0.322145274	0.545852656	0.650177164	0.708466872	NA	0.534981961
A6NGB9	644150	WIPF3	0.571740709	0.75471162	0.700466745	0.803726084	0.749383244	0.617648322	0.660363596	0.372631894	0.543740456	0.793843953
A6NGN9	402665	IGLON5	1.073514987	3.62523401	1.277953335	2.642358773	1.095224762	0.897148248	1.187421794	1.113772337	0.943789159	1.876649045
A6NHL2	79861	TUBAL3	0.796375012	0.69038929	0.396897402	0.868797685	0.870885898	0.86690411	0.373136785	0.487112996	0.620023508	0.20140786
A6NHQ2	345630	FBLL1	0.188747661	0.275909095	0.660081259	0.323820636	0.192643321	0.289320556	0.242148298	0.303715876	0.107511962	0.24191577
A6NHR9	23347	SMCHD1	-0.760603126	-0.947879502	-0.78169583	-0.67087309	-0.58282974	-0.749307581	-0.670410016	-0.468676264	-0.722772167	-0.626412667
A6NHX0	729438	CASTOR2	0.566715677	0.52424799	0.430952969	0.511700018	0.407185269	0.387597836	0.195025443	0.449707816	0.337146703	0.405556807
A6NI28	143872	ARHGAP42	-0.148453402	-0.325075086	-0.232360164	-0.409659321	-0.908699227	-0.560887274	-0.171838264	-0.092225671	-0.137060944	-0.304490753
A6NIH7	84747	UNC119B	-0.485601059	-0.250462487	-0.333655861	-0.258373742	-0.632188679	-0.25425624	-0.240100018	-0.177910152	-0.304848798	-0.112319658
A6NJ78	196074	METTL15	0.009859214	NA	0.872227221	0.215011793	0.258691131	0.126052057	0.117941534	0.529837813	NA	NA
A6NKD9	317762	CCDC85C	0.063420801	-0.081578679	0.134219921	-0.039007664	0.456902671	NA	0.189623553	0.029428183	0.084491135	0.232075657
A6NKF1	29901	SAC3D1	0.013375431	-0.093237737	-0.21155557	-0.026067416	-0.117657958	-0.350444817	-0.572130187	-0.250204716	NA	-0.144960872
A6NKF7	643965	TMEM88B	0.569363128	0.588216759	0.215704094	0.510837704	0.8643788	1.446292652	1.061435454	NA	0.215391568	0.497945549
A6NKN8	654790	PCP4L1	0.660554024	0.819025081	0.910750413	0.74694731	0.690297069	0.9638383	0.383105644	0.811212595	0.656268903	0.813145581
A6NL88	729956	SHISA7	2.308328279	1.055629718	1.768907307	1.852185821	1.846915072	1.891703646	1.029852291	1.257259705	2.113076756	1.344682177
A6NLU5	342865	VSTM2B	0.701258761	0.835783006	0.523055629	1.048510188	NA	2.254673445	0.59893702	0.561678643	0.824497013	1.025765161
A6NNT2	342346	C16orf96	0.381396278	2.14237217	2.589829692	NA	1.193242488	NA	0.458624678	0.428159596	-0.222323831	1.270879619
A6QL63	121551	ABTB3	0.245653705	0.390331941	0.269796738	0.321973992	0.424784659	0.377660862	0.198492847	0.272224773	0.340170622	0.35395936
A6XGL0	374887	YJEFN3	0.077901566	1.033673004	1.019030479	0.932132623	0.691668675	0.378177441	0.432477239	1.680083108	0.996393158	0.903534269
A6ZKI3	8933	RTL8C	-0.362860832	0.051981014	0.110709467	0.446339159	NA	0.272685896	0.334875578	0.349941923	0.188558563	0.235952671
A7E2V4	23053	ZSWIM8	0.179139635	0.233286679	0.214290566	0.384538313	0.401372276	0.299615234	0.308307087	0.147711929	0.105989603	0.26896808
A7KAX9	9743	ARHGAP32	0.668926618	0.726320383	0.763612851	0.637258512	0.932075028	0.850224469	0.758696712	0.781732758	0.881570938	0.734806595
A7MBM2	85455	DISP2	0.299662322	0.209068624	0.495816584	0.462750645	0.319947061	0.227049934	0.337137474	0.488123392	0.573901926	0.378633609
A7XYQ1	55084	SOBP	0.142222509	0.350723899	0.293207175	0.26235485	0.224732897	0.091827876	0.185211669	0.392039614	0.449648221	0.421248317
A8CG34	100101267	POM121C	-0.085592518	0.007554942	0.131513382	-1.297255458	-0.689295252	-0.205817662	0.174329726	NA	0.22342859	-0.249111713
A8K855	84455	EFCAB7	0.013688399	0.007028456	0.093063279	0.042637055	0.070177552	0.174372944	-0.013667213	-0.034860269	-0.028550358	0.069072928
A8MSI8	201229	LYRM9	0.661545445	0.532037971	1.037089147	0.893011288	0.869667317	0.94555301	1.218445525	0.795759084	0.982473703	0.913459395
A8MTT3	100505876	CEBPZOS	0.455162943	0.332092871	0.321046812	0.380337485	0.364159083	0.521751122	0.258082643	NA	0.436117756	0.317874536
A8MTZ0	92482	BBIP1	-0.957295711	-0.857934342	-0.407185662	0.029359833	0.326795548	-0.113228849	-0.470277816	0.007808088	0.076894627	0.200207592
A8MU93	388327	C17orf100	0.50907962	0.614552584	0.756551352	0.505699831	0.582176329	0.57164447	1.331988786	0.416414649	0.496964487	0.5580483
A8MVW0	284069	FAM171A2	0.79964061	0.91518526	0.764441823	0.804218439	1.182972347	1.048810774	0.674417515	0.898628824	0.794839911	1.299227891
A8MW92	51105	PHF20L1	0.004560898	-0.108150891	-0.071510267	0.007776917	0.053979512	-0.104401631	-0.05329791	-0.127321532	-0.144520181	-0.011422117
A8MWY0	222223	ELAPOR2	0.595190665	0.152559255	0.589566838	0.770244054	0.717689016	0.766428562	0.584416177	0.449131652	0.587235254	0.509540146
A8MXV4	390916	NUDT19	0.224037736	0.228006959	0.154599055	0.21210075	0.240940607	0.024178632	0.422782648	0.291705453	0.271951328	0.204015084
A9UHW6	57409	MIF4GD	-0.152792412	-0.191293424	0.082044554	-0.078321682	-0.534831565	-0.271431578	-0.020458876	-0.358257716	-0.070648732	-0.03681797
B0I1T2	64005	MYO1G	-0.031010082	-0.713475956	-1.095207044	-0.452458854	-0.234923916	-0.466144351	-0.178807637	-0.165707635	-0.290024208	-0.556414701
B1AJZ9	114827	FHAD1	NA	NA	0.05104212	NA	-0.233835072	-0.16738088	-1.639088316	0.30328693	-0.209273636	0.255793554
B1ANS9	128025	WDR64	-2.092900807	-0.539363514	-0.060205638	-0.997715855	NA	-0.84816937	0.078364074	-0.762729574	-0.479305405	-0.40844152
B2RTY4	4649	MYO9A	0.450635654	0.409618491	0.415403999	0.298076815	0.434895239	0.442348181	0.321358425	0.410299797	0.446449489	0.446601842
B4DS77	729993	SHISA9	0.868085432	0.746997995	0.877356316	0.757427932	0.83999716	0.7283985	0.308017078	NA	1.616272655	1.037172968
B7ZBB8	648791	PPP1R3G	0.118130324	0.096511757	0.163131597	0.13753439	0.365282368	-0.040801183	0.183047222	0.167107385	0.325000077	0.505387111
C9J069	389813	AJM1	1.399026469	1.141058024	1.2362796	1.072721203	1.039073449	0.901956813	1.242226401	0.917530238	1.502965671	0.951583844
C9J7I0	729852	UMAD1	-0.331331705	0.044920545	0.315723088	-0.009614453	-0.13734465	0.196013678	0.072760677	0.082531088	0.036729348	-0.21477089
C9JLW8	348262	MCRIP1	0.144079234	-0.223137016	-0.009438978	0.065713502	0.11527625	-0.09913779	-0.168422373	0.178485388	0.17284216	-0.246340339
E5RJM6	441869	ANKRD65	-0.206897852	0.539029016	3.175654741	1.614195831	1.617683662	NA	0.166022384	1.105812966	4.208723075	1.410392041
E9PRG8	102288414	C11orf98	-0.373598294	-0.703506615	-0.417237162	-0.604625435	-0.157089016	-0.445006929	-0.305894576	0.09157941	-0.396628432	-0.110913322
H3BS89	100507421	TMEM178B	1.310153253	1.220082944	1.536881942	1.273975945	1.128996568	0.891056459	0.970115839	0.050992362	0.267763905	NA
L0R6Q1	113829	SLC35A4	-0.076314178	-0.31249674	0.087272328	-0.023816276	-0.346073632	-0.708056693	-0.515355266	-0.035581795	-0.402024066	-0.46601726
L0R819	110599588	ASDURF	-0.221897628	-0.076975506	-0.140833069	-0.051878239	-0.186520671	-0.609775647	0.165785888	-0.100296047	-0.471399196	-0.330173457
L0R8F8	54471	MIEF1	-0.045681084	-0.316231742	0.379413731	-0.359412026	-0.121593666	0.004546499	-0.158639862	-0.114356971	-0.168410264	-0.254478122
O00115	1777	DNASE2	-0.695227199	-0.164474116	-0.716048264	-0.397920793	-0.891299234	-0.986776178	-0.781779995	-0.930175655	-0.223254795	-0.810191627
O00116	8540	AGPS	-0.097201025	-0.250153502	-0.199164458	-0.216480663	-0.158230063	-0.013339801	0.03094349	-0.149444104	-0.220707756	-0.196407408
O00139	3796	KIF2A	0.489030451	0.488539165	0.441527976	0.420331908	0.392055479	0.454309293	0.526489995	0.46294874	0.509032234	0.441626334
O00142	7084	TK2	0.279254179	0.414281464	0.358376125	0.510210728	0.303394791	0.410425926	0.50323092	0.352079974	0.375213492	0.479909993
O00148	10212	DDX39A	-1.006196077	-0.763584681	-0.371721573	-0.98066687	-0.513880555	-0.435310049	-0.358923341	-1.130499513	-0.43020572	-0.895901678
O00151	9124	PDLIM1	-1.179865807	-1.605948615	-1.348802016	-0.540654034	-1.122607645	-0.921490848	-1.273669502	0.012936525	-0.986868955	-0.569460684
O00154	11332	ACOT7	0.749429519	0.743828839	0.732361129	0.751715462	0.675401183	0.838840345	0.922378037	0.844007482	0.863953574	0.711604269
O00159	4641	MYO1C	0.151488162	-0.011280471	-0.230949129	0.183072781	-0.206173522	-0.170124541	-0.019986818	-0.060414294	-0.004888125	0.168216607
O00160	4542	MYO1F	-1.369909131	-1.073646537	-1.170381735	-0.874487553	-0.960466968	-0.905591805	-0.611219904	-1.017527567	-0.726705984	-0.679342763
O00161	8773	SNAP23	-0.607914226	-0.82797136	-0.752442102	-0.266761077	-0.408195326	-0.736254754	-0.430624857	-1.332085227	-0.443737843	-0.665790758
O00165	10456	HAX1	0.38882348	0.240939876	0.228518051	0.363106228	0.299243161	0.290202426	0.357191165	0.34568127	0.342183607	0.360865848
O00168	5348	FXYD1	1.192196212	0.263196556	0.580309332	1.038407015	0.986381074	0.467413678	1.267449443	0.602037258	0.703815271	1.006833957
O00170	9049	AIP	0.094689017	0.151152336	0.123866926	0.122053022	0.091553045	0.06699628	0.222026622	0.09258771	0.072671267	0.059739338
O00178	9567	GTPBP1	0.106006037	0.085724424	0.120923321	0.12476113	0.17200707	0.157166129	0.167485881	0.075375123	0.055064925	0.243722605
O00182	3965	LGALS9	-1.671248179	-0.03026886	-0.441021058	-0.281458973	-0.684416542	-0.780595474	-0.703322299	-1.361044403	-0.848219446	-0.399793475
O00186	6814	STXBP3	0.032425965	0.102893957	0.094895184	-0.003206499	0.140222485	0.207455354	0.222442874	0.004269953	0.041695159	0.005075616
O00187	10747	MASP2	-1.845040794	-3.045511355	-0.867573892	-1.261769517	-1.379813005	-0.435069648	-0.152531755	NA	-2.606126781	NA
